
Rank,Athlete,Age,Team,NOC,T,P(1912AT),P(1985T),
1,Jim Thorpe,24,United States,USA,15.6,943.00,751,OB
2,Jim Donahue,27,United States,USA,16.2,886.00,684,
3,Frank Lukeman,26,Canada,CAN,16.3,876.50,673,
4T,Roy Mercer,23,United States,USA,16.4,867.00,662,
4T,Ferdinand Bie,24,Norway,NOR,16.4,867.00,662,
4T,GÃ©o AndrÃ©,22,France,FRA,16.4,867.00,662,
7,George Philbrook,27,United States,USA,16.8,829.00,620,
8T,GÃ¶sta HolmÃ©r,20,Sweden,SWE,17.0,810.00,599,
8T,Valdemar Wickholm,21,Finland,FIN,17.0,810.00,599,
10,Avery Brundage,24,United States,USA,17.1,800.50,589,
11T,Hugo Wieslander,22,Sweden,SWE,17.2,791.00,579,
11T,Erik Kugelberg,21,Sweden,SWE,17.2,791.00,579,
11T,Alfredo Pagani,24,Italy,ITA,17.2,791.00,579,
14,Charles Lomberg,25,Sweden,SWE,17.6,753.00,540,
15,Karl von Halt,20,Germany,GER,17.7,743.50,530,
16,Aleksandr Schultz,19,Russia,RUS,17.8,734.00,520,
17,Josef SchÃ¤ffer,20,Austria,AUT,18.9,629.50,420,
18,AlfrÄds AlslÄbens,19,Russia,RUS,19.5,572.50,370,
