
Rank,Athlete,Age,Team,NOC,T,P(1912AT),P(1985T),
1,Jim Thorpe,24,United States,USA,4:40.1,779.8,680,OB
2,GÃ¶sta HolmÃ©r,20,Sweden,SWE,4:41.9,769.0,668,
3,Erik Kugelberg,21,Sweden,SWE,4:43.5,759.4,658,
4,Valdemar Wickholm,21,Finland,FIN,4:43.9,757.0,656,
5,Jim Donahue,27,United States,USA,4:44.0,756.4,655,
6,Hugo Wieslander,22,Sweden,SWE,4:45.0,750.4,649,
7,Roy Mercer,23,United States,USA,4:46.3,742.6,641,
8,Aleksandr Schultz,19,Russia,RUS,4:46.4,742.0,641,
9,Karl von Halt,20,Germany,GER,5:02.8,643.6,544,
10,Josef SchÃ¤ffer,20,Austria,AUT,5:05.3,628.6,530,
11,AlfrÄds AlslÄbens,19,Russia,RUS,5:08.6,608.8,511,
12,Charles Lomberg,25,Sweden,SWE,5:12.2,587.2,492,
