
Rank,Athlete,Age,Team,NOC,D,P(1912AT),P(1985T),
1,George Philbrook,27,United States,USA,41.56,1.03800,696,OB
2,Josef SchÃ¤ffer,20,Austria,AUT,37.14,835.84,607,
3,Jim Thorpe,24,United States,USA,36.98,829.76,603,
4,Hugo Wieslander,22,Sweden,SWE,36.29,803.54,590,
5,Karl von Halt,20,Germany,GER,35.46,772.00,573,
6,Charles Lomberg,25,Sweden,SWE,35.35,767.82,571,
7,Avery Brundage,24,United States,USA,34.07,719.18,545,
8,GÃ¶sta HolmÃ©r,20,Sweden,SWE,31.78,632.16,500,
9,Ferdinand Bie,24,Norway,NOR,31.65,627.22,497,
10,Erik Kugelberg,21,Sweden,SWE,31.48,620.76,494,
11,Aleksandr Schultz,19,Russia,RUS,31.34,615.44,491,
12,Frank Lukeman,26,Canada,CAN,30.52,584.28,475,
13,Alfredo Pagani,24,Italy,ITA,3020,57212,468,
14,Jim Donahue,27,United States,USA,29.95,562.62,463,
15,Valdemar Wickholm,21,Finland,FIN,29.78,556.16,460,
16,AlfrÄds AlslÄbens,19,Russia,RUS,29.21,534.50,449,
17,GÃ©o AndrÃ©,22,France,FRA,25.37,388.6,374,
18,Roy Mercer,23,United States,USA,21.95,258.62,309,
