
Rank,Athlete,Age,Team,NOC,H,P(1912AT),P(1985T),
1,Jim Thorpe,24,United States,USA,1.87,958,687,OB
2T,Charles Lomberg,25,Sweden,SWE,1.80,860,627,
2T,George Philbrook,27,United States,USA,1.80,860,627,
4T,Hugo Wieslander,22,Sweden,SWE,1.75,790,585,
4T,Frank Lukeman,26,Canada,CAN,1.75,790,585,
4T,GÃ©o AndrÃ©,22,France,FRA,1.75,790,585,
7T,GÃ¶sta HolmÃ©r,20,Sweden,SWE,1.70,720,544,
7T,Karl von Halt,20,Germany,GER,1.70,720,544,
7T,AlfrÄds AlslÄbens,19,Russia,RUS,1.70,720,544,
7T,Avery Brundage,24,United States,USA,1.70,720,544,
7T,Einar Nilsson,20,Sweden,SWE,1.70,720,544,
7T,Otto RÃ¶hr,20,Germany,GER,1.70,720,544,
13T,Jim Donahue,27,United States,USA,1.65,650,504,
13T,Roy Mercer,23,United States,USA,1.65,650,504,
13T,Erik Kugelberg,21,Sweden,SWE,1.65,650,504,
13T,Ferdinand Bie,24,Norway,NOR,1.65,650,504,
13T,Alfredo Pagani,24,Italy,ITA,1.65,650,504,
18T,Valdemar Wickholm,21,Finland,FIN,1.60,580,464,
18T,Gunnar RÃ¶nstrÃ¶m,28,Sweden,SWE,1.60,580,464,
20T,Josef SchÃ¤ffer,20,Austria,AUT,1.55,510,426,
20T,Aleksandr Schultz,19,Russia,RUS,1.55,510,426,
20T,Skotte Jacobsson,24,Sweden,SWE,1.55,510,426,
23,Alex Abraham,25,Germany,GER,1.50,440,389,
