
Rank,Athlete,Age,Team,NOC,D,P(1912AT),P(1985T),
1,Charles Lomberg,25,Sweden,SWE,6.87,850.55,783,OB
2,Roy Mercer,23,United States,USA,6.84,843.20,776,
3,Jim Thorpe,24,United States,USA,6.79,830.95,764,
4,Ferdinand Bie,24,Norway,NOR,6.69,806.45,741,
5,Jim Donahue,27,United States,USA,6.48,755.00,693,
6,Skotte Jacobsson,24,Sweden,SWE,6.46,750.10,688,
7,Otto RÃ¶hr,20,Germany,GER,6.43,742.75,682,
8,Hugo Wieslander,22,Sweden,SWE,6.42,740.30,679,
9,Avery Brundage,24,United States,USA,6.40,735.40,675,
10,George Philbrook,27,United States,USA,6.34,720.70,661,
11,Harry Babcock,21,United States,USA,6.29,708.45,650,
12,AlfrÄds AlslÄbens,19,Russia,RUS,6.27,703.55,646,
13,Erik Kugelberg,21,Sweden,SWE,6.20,686.40,630,
14,Frank Lukeman,26,Canada,CAN,6.14,671.70,617,
15,Karl von Halt,20,Germany,GER,6.08,657.00,604,
16,Pierre Failliot,23,France,FRA,6.05,649.65,597,
17,Josef SchÃ¤ffer,20,Austria,AUT,6.04,647.20,595,
18,Gunnar RÃ¶nstrÃ¶m,28,Sweden,SWE,5.99,634.95,584,
19,GÃ¶sta HolmÃ©r,20,Sweden,SWE,5.98,632.50,582,
20,Valdemar Wickholm,21,Finland,FIN,5.95,625.15,576,
21,Svend LangkjÃ¦r,25,Denmark,DEN,5.89,610.45,563,
22,Alfredo Pagani,24,Italy,ITA,5.83,595.75,550,
23,Aleksandr Schultz,19,Russia,RUS,5.75,576.15,533,
24,Einar Nilsson,20,Sweden,SWE,5.72,568.80,527,
25,Viktor Hackberg,20,Sweden,SWE,5.64,549.20,510,
26,GÃ©o AndrÃ©,22,France,FRA,5.60,539.40,502,
27,Manlio Legat,22,Italy,ITA,5.56,529.60,494,
28,Alex Abraham,25,Germany,GER,5.52,519.80,485,
29,Mkrtich Mkryan,29,Turkey,TUR,5.43,497.75,467,
