
Rank,Athlete,Age,Team,NOC,H,P(1912AT),P(1985T),
1,Roy Mercer,23,United States,USA,3.60,940.6,509,OB
2,Jim Donahue,27,United States,USA,3.40,832.6,457,
3T,Jim Thorpe,24,United States,USA,3.25,751.6,418,
3T,Charles Lomberg,25,Sweden,SWE,3.25,751.6,418,
3T,Valdemar Wickholm,21,Finland,FIN,3.25,751.6,418,
3T,Josef SchÃ¤ffer,20,Austria,AUT,3.25,751.6,418,
7,GÃ¶sta HolmÃ©r,20,Sweden,SWE,3.20,724.6,406,
8,Hugo Wieslander,22,Sweden,SWE,3.10,670.6,381,
9,Erik Kugelberg,21,Sweden,SWE,3.00,616.6,357,
10T,Ferdinand Bie,24,Norway,NOR,2.90,562.6,333,
10T,Avery Brundage,24,United States,USA,2.90,562.6,333,
12T,Karl von Halt,20,Germany,GER,2.70,454.6,286,
12T,Aleksandr Schultz,19,Russia,RUS,2.70,454.6,286,
12T,Frank Lukeman,26,Canada,CAN,2.70,454.6,286,
15,George Philbrook,27,United States,USA,2.50,346.6,242,
AC,AlfrÄds AlslÄbens,19,Russia,RUS,,0.0,0,NH
