
Rank,Athlete,Age,Team,NOC,D,P(1912AT),P(1985T),
1,Jim Thorpe,24,United States,USA,12.89,809,661,OB
2,Einar Nilsson,20,Sweden,SWE,12.83,803,657,
3,George Philbrook,27,United States,USA,12.79,799,654,
4,Hugo Wieslander,22,Sweden,SWE,12.14,734,615,
5,Charles Lomberg,25,Sweden,SWE,11.67,687,586,
6,Josef SchÃ¤ffer,20,Austria,AUT,11.50,670,576,
7,Alex Abraham,25,Germany,GER,11.29,649,563,
8T,Karl von Halt,20,Germany,GER,11.12,632,553,
8T,Avery Brundage,24,United States,USA,11.12,632,553,
10,Valdemar Wickholm,21,Finland,FIN,11.09,629,551,
11,Mkrtich Mkryan,29,Turkey,TUR,11.05,625,549,
12,GÃ¶sta HolmÃ©r,20,Sweden,SWE,10.98,618,545,
13,Gunnar RÃ¶nstrÃ¶m,28,Sweden,SWE,10.69,589,527,
14,Pierre Failliot,23,France,FRA,10.54,574,518,
15,Viktor Hackberg,20,Sweden,SWE,10.30,550,504,
16,Ferdinand Bie,24,Norway,NOR,10.20,540,498,
17,Harry Babcock,21,United States,USA,10.16,536,495,
18,Aleksandr Schultz,19,Russia,RUS,10.08,528,490,
19,Erik Kugelberg,21,Sweden,SWE,9.98,518,484,
20,GÃ©o AndrÃ©,22,France,FRA,9.90,510,480,
21,Svend LangkjÃ¦r,25,Denmark,DEN,9.86,506,477,
22,Otto RÃ¶hr,20,Germany,GER,9.81,501,474,
23,Roy Mercer,23,United States,USA,9.76,496,471,
24T,Jim Donahue,27,United States,USA,9.67,487,466,
24T,Alfredo Pagani,24,Italy,ITA,9.67,487,466,
26,Skotte Jacobsson,24,Sweden,SWE,9.35,455,447,
27,Frank Lukeman,26,Canada,CAN,9.29,449,443,
28,AlfrÄds AlslÄbens,19,Russia,RUS,8.48,368,395,
29,Manlio Legat,22,Italy,ITA,8.23,343,380,
