
Rank,Athlete,Age,Team,NOC,Medal,P(1912AT),P(1985T),
1,Jim Thorpe,24,United States,USA,Gold,8412.955,6.565,WR
2,Hugo Wieslander,22,Sweden,SWE,Gold,7724.495,5.966,
3,Charles Lomberg,25,Sweden,SWE,Silver,7413.510,5.722,
4,GÃ¶sta HolmÃ©r,20,Sweden,SWE,Bronze,7347.855,5.768,
5,Jim Donahue,27,United States,USA,,7083.450,5.701,
6,Roy Mercer,23,United States,USA,,7074.995,5.825,
7,Valdemar Wickholm,21,Finland,FIN,,7058.795,5.613,
8,Erik Kugelberg,21,Sweden,SWE,,6758.780,5.345,
9,Karl von Halt,20,Germany,GER,,6682.445,5.286,
10,Josef SchÃ¤ffer,20,Austria,AUT,,6568.585,5.049,
11,Aleksandr Schultz,19,Russia,RUS,,6134.470,4.973,
12,AlfrÄds AlslÄbens,19,Russia,RUS,,5294.615,4.329,
AC,George Philbrook,27,United States,USA,,,,DNF
AC,Ferdinand Bie,24,Norway,NOR,,,,DNF
AC,Frank Lukeman,26,Canada,CAN,,,,DNF
AC,Avery Brundage,24,United States,USA,,,,DNF
AC,GÃ©o AndrÃ©,22,France,FRA,,,,DNF
AC,Alfredo Pagani,24,Italy,ITA,,,,DNF
AC,Einar Nilsson,20,Sweden,SWE,,,,DNF
AC,Otto RÃ¶hr,20,Germany,GER,,,,DNF
AC,Skotte Jacobsson,24,Sweden,SWE,,,,DNF
AC,Gunnar RÃ¶nstrÃ¶m,28,Sweden,SWE,,,,DNF
AC,Alex Abraham,25,Germany,GER,,,,DNF
AC,Pierre Failliot,23,France,FRA,,,,DNF
AC,Harry Babcock,21,United States,USA,,,,DNF
AC,Svend LangkjÃ¦r,25,Denmark,DEN,,,,DNF
AC,Viktor Hackberg,20,Sweden,SWE,,,,DNF
AC,Manlio Legat,22,Italy,ITA,,,,DNF
AC,Mkrtich Mkryan,29,Turkey,TUR,,,,DNF
