
Rank,Athlete,Age,Team,NOC,T,P(1912BT),P(1985T),
1T,Everett Ellis,23,United States,USA,16.2,886.0,684,
1T,Helge LÃ¸vland,29,Norway,NOR,16.2,886.0,684,
3,Harry Goelitz,26,United States,USA,16.4,867.0,662,
4,GÃ¶sta HolmÃ©r,28,Sweden,SWE,16.6,848.0,641,
5T,Axel-Erik Gyllenstolpe,26,Sweden,SWE,16.8,829.0,620,
5T,Valdemar Wickholm,29,Finland,FIN,16.8,829.0,620,
7T,Bertil Ohlson,21,Sweden,SWE,17.0,810.0,599,
7T,Einar RÃ¦der,24,Norway,NOR,17.0,810.0,599,
9,Gene Vidal,25,United States,USA,17.1,800.5,589,
10,Ernst Gerspach,22,Switzerland,SUI,17.2,791.0,579,
11,Brutus Hamilton,19,United States,USA,17.3,781.5,569,
12T,Aleksander Klumberg,21,Estonia,EST,18.0,715.0,501,
12T,RenÃ© Joannes-Powell,24,Belgium,BEL,18.0,715.0,501,
14,Carlo Butti,28,Italy,ITA,19.0,620.0,412,
15,Constant Bucher,20,Switzerland,SUI,19.2,601.0,395,
16,Evert Nilsson,25,Sweden,SWE,20.0,525.0,330,
AC,Gensabulo Noguchi,31,Japan,JPN,,00,0,DNF
