
Rank,Athlete,Age,Team,NOC,H,P(1912BT),P(1985T),
1,Evert Nilsson,25,Sweden,SWE,1.75,748,585,
2T,GÃ¶sta HolmÃ©r,28,Sweden,SWE,1.70,678,544,
2T,Aleksander Klumberg,21,Estonia,EST,1.70,678,544,
4T,Helge LÃ¸vland,29,Norway,NOR,1.65,608,504,
4T,Bertil Ohlson,21,Sweden,SWE,1.65,608,504,
4T,Gene Vidal,25,United States,USA,1.65,608,504,
4T,Axel-Erik Gyllenstolpe,26,Sweden,SWE,1.65,608,504,
4T,Harry Goelitz,26,United States,USA,1.65,608,504,
4T,Einar RÃ¦der,24,Norway,NOR,1.65,608,504,
4T,Apostolos Nikolaidis,,Greece,GRE,1.65,608,504,
11T,Brutus Hamilton,19,United States,USA,1.60,538,464,
11T,Valdemar Wickholm,29,Finland,FIN,1.60,538,464,
11T,Ernst Gerspach,22,Switzerland,SUI,1.60,538,464,
11T,Everett Ellis,23,United States,USA,1.60,538,464,
15T,RenÃ© Joannes-Powell,24,Belgium,BEL,1.55,468,426,
15T,Carlo Butti,28,Italy,ITA,1.55,468,426,
15T,Paavo Johansson,24,Finland,FIN,1.55,468,426,
15T,James Andromedas,,Greece,GRE,1.55,468,426,
19T,Eero Lehtonen,22,Finland,FIN,1.50,398,389,
19T,Eduard HaÅ¡ek,26,Czechoslovakia,TCH,1.50,398,389,
21T,Constant Bucher,20,Switzerland,SUI,1.45,328,352,
21T,Gensabulo Noguchi,31,Japan,JPN,1.45,328,352,
AC,Hugo Lahtinen,28,Finland,FIN,,0,0,NH
