
Rank,Athlete,Age,Team,NOC,D,P(1912BT),P(1985T),
1,Eero Lehtonen,22,Finland,FIN,6.555,743.975,709,
2,Bertil Ohlson,21,Sweden,SWE,6.435,714.575,682,
3,Axel-Erik Gyllenstolpe,26,Sweden,SWE,6.350,693.750,664,
4,Brutus Hamilton,19,United States,USA,6.325,687.625,657,
5,Helge LÃ¸vland,29,Norway,NOR,6.280,676.600,648,
6,Einar RÃ¦der,24,Norway,NOR,6.275,675.375,646,
7,Hugo Lahtinen,28,Finland,FIN,6.230,664.350,637,
8,Aleksander Klumberg,21,Estonia,EST,6.210,659.450,632,
9,Gene Vidal,25,United States,USA,6.130,639.850,615,
10,Eduard HaÅ¡ek,26,Czechoslovakia,TCH,6.125,638.625,613,
11,Valdemar Wickholm,29,Finland,FIN,6.120,637.400,613,
12,Paavo Johansson,24,Finland,FIN,6.040,617.800,595,
13,Ernst Gerspach,22,Switzerland,SUI,6.000,608.000,587,
14,RenÃ© Joannes-Powell,24,Belgium,BEL,5.935,592.075,571,
15,GÃ¶sta HolmÃ©r,28,Sweden,SWE,5.920,588.400,569,
16,Constant Bucher,20,Switzerland,SUI,5.850,571.250,554,
17,Harry Goelitz,26,United States,USA,5.835,567.575,550,
18,Carlo Butti,28,Italy,ITA,5.740,544.300,531,
19,Evert Nilsson,25,Sweden,SWE,5.670,527.150,516,
20,Everett Ellis,23,United States,USA,5.665,525.925,514,
21,Gensabulo Noguchi,31,Japan,JPN,5.630,517.350,508,
22,James Andromedas,,Greece,GRE,5.520,490.400,485,
23,Apostolos Nikolaidis,,Greece,GRE,5.445,472.025,469,
