
Rank,Athlete,Age,Team,NOC,D,P(1912BT),P(1985T),
1,Paavo Johansson,24,Finland,FIN,11.69,635,588,
2T,Brutus Hamilton,19,United States,USA,11.61,627,583,
2T,Aleksander Klumberg,21,Estonia,EST,11.61,627,583,
4,Everett Ellis,23,United States,USA,11.45,611,573,
5,Valdemar Wickholm,29,Finland,FIN,11.44,610,572,
6T,Apostolos Nikolaidis,,Greece,GRE,11.39,605,569,
6T,Evert Nilsson,25,Sweden,SWE,11.39,605,569,
8,Helge LÃ¸vland,29,Norway,NOR,11.19,585,557,
9,Gene Vidal,25,United States,USA,11.16,582,556,
10,Bertil Ohlson,21,Sweden,SWE,11.07,573,550,
11,GÃ¶sta HolmÃ©r,28,Sweden,SWE,11.06,572,549,
12,Einar RÃ¦der,24,Norway,NOR,10.99,565,545,
13,Harry Goelitz,26,United States,USA,10.81,547,534,
14,Axel-Erik Gyllenstolpe,26,Sweden,SWE,10.69,535,527,
15,Eero Lehtonen,22,Finland,FIN,10.66,532,525,
16,Carlo Butti,28,Italy,ITA,10.61,527,522,
17,Ernst Gerspach,22,Switzerland,SUI,10.59,525,521,
18,Hugo Lahtinen,28,Finland,FIN,10.06,472,489,
19,Eduard HaÅ¡ek,26,Czechoslovakia,TCH,9.93,459,481,
20,James Andromedas,,Greece,GRE,9.92,458,481,
21,Constant Bucher,20,Switzerland,SUI,9.71,437,468,
22,RenÃ© Joannes-Powell,24,Belgium,BEL,9.47,413,454,
23,Gensabulo Noguchi,31,Japan,JPN,8.13,279,374,
