Rank,Athlete,Age,Team,NOC,Medal,P(1912BT),P(1985T),
1,Helge LÃ¸vland,29,Norway,NOR,Gold,6803.355,5803,
2,Brutus Hamilton,19,United States,USA,Silver,6771.085,5739,
3,Bertil Ohlson,21,Sweden,SWE,Bronze,6580.03,5640,
4,GÃ¶sta HolmÃ©r,28,Sweden,SWE,,6532.15,5551,
5,Evert Nilsson,25,Sweden,SWE,,6433.53,5371,
6,Valdemar Wickholm,29,Finland,FIN,,6405.46,5630,
7,Gene Vidal,25,United States,USA,,6358.57,5489,
8,Axel-Erik Gyllenstolpe,26,Sweden,SWE,,6331.435,5482,
9,Ernst Gerspach,22,Switzerland,SUI,,5947.78,5188,
10,Constant Bucher,20,Switzerland,SUI,,5273.28,4783,
11,RenÃ© Joannes-Powell,24,Belgium,BEL,,5091.52,4718,
12,Gensabulo Noguchi,31,Japan,JPN,,3668.63,3775,
AC,Harry Goelitz,26,United States,USA,,,,DNF
AC,Einar RÃ¦der,24,Norway,NOR,,,,DNF
AC,Aleksander Klumberg,21,Estonia,EST,,,,DNF
AC,Everett Ellis,23,United States,USA,,,,DNF
AC,Carlo Butti,28,Italy,ITA,,,,DNF
AC,Eero Lehtonen,22,Finland,FIN,,,,DNF
AC,Eduard HaÅ¡ek,26,Czechoslovakia,TCH,,,,DNF
AC,Paavo Johansson,24,Finland,FIN,,,,DNF
AC,Apostolos Nikolaidis,,Greece,GRE,,,,DNF
AC,James Andromedas,,Greece,GRE,,,,DNF
AC,Hugo Lahtinen,28,Finland,FIN,,,,DNF
