
Rank,Athlete,Age,Team,NOC,H,P(1912BT),P(1985T),
1,Emerson Norton,23,United States,USA,3.80,919.0,562,OB
2T,Harold Osborn,25,United States,USA,3.50,757.0,482,
2T,Harry de Keijser,23,Netherlands,NED,3.50,757.0,482,
4T,Ernst Gerspach,27,Switzerland,SUI,3.40,703.0,457,
4T,Harry Frieda,22,United States,USA,3.40,703.0,457,
6T,Aleksander Klumberg,25,Estonia,EST,3.30,649.0,431,
6T,Peroslav FerkoviÄ,21,Yugoslavia,YUG,3.30,649.0,431,
6T,Ernest Sutherland,30,South Africa,RSA,3.30,649.0,431,
6T,Eugen Uuemaa,20,Estonia,EST,3.30,649.0,431,
10T,Antti Huusari,25,Finland,FIN,3.20,595.0,406,
10T,Josse Ruth,,Belgium,BEL,3.20,595.0,406,
10T,Ãdouard Armand,,Haiti,HAI,3.20,595.0,406,
13T,Adolfo Contoli,26,Italy,ITA,3.10,541.0,381,
13T,Helge Jansson,19,Sweden,SWE,3.10,541.0,381,
15,Stelios Benardis,,Greece,GRE,2.92,443.8,338,
16T,Antoni Cejzik,23,Poland,POL,2.90,433.0,333,
16T,Constant Bucher,24,Switzerland,SUI,2.90,433.0,333,
18,Bill Shanahan,27,Ireland,IRL,2.82,389.8,314,
19T,Elmar RÃ¤hn,19,Estonia,EST,2.80,379.0,309,
19T,Gabriel SempÃ©,23,France,FRA,2.80,379.0,309,
21T,Enrique Thompson,26,Argentina,ARG,2.73,341.2,293,
21T,Paavo YrjÃ¶lÃ¤,21,Finland,FIN,2.73,341.2,293,
23,Donald Slack,27,Great Britain,GBR,2.60,271.0,264,
24,Gvido Jekals,19,Latvia,LAT,2.53,233.2,248,
25,Tokushige Noto,22,Japan,JPN,2.30,109.0,199,
AC,Gaston MÃ©dÃ©cin,23,Monaco,MON,,0.0,0,NH
