
Rank,Athlete,Age,Team,NOC,T,P(1912BT),P(1985T),
1,Johannes Viljoen,24,South Africa,RSA,11.0,904.8,808,=OB
2T,Akilles JÃ¤rvinen,22,Finland,FIN,11.2,857.2,765,
2T,James Stewart,21,United States,USA,11.2,857.2,765,
4T,Helge Jansson,23,Sweden,SWE,11.4,809.6,723,
4T,Adolf Meier,26,Switzerland,SUI,11.4,809.6,723,
4T,George Weightman-Smith,22,South Africa,RSA,11.4,809.6,723,
7T,Ken Doherty,23,United States,USA,11.6,762.0,683,
7T,Tom Churchill,20,United States,USA,11.6,762.0,683,
7T,Ludwig Vesely,24,Austria,AUT,11.6,762.0,683,
7T,Tatsuo Toki,24,Japan,JPN,11.6,762.0,683,
7T,Johan Meimer,23,Estonia,EST,11.6,762.0,683,
7T,Barney Berlinger,20,United States,USA,11.6,762.0,683,
7T,Hermann Lemperle,21,Germany,GER,11.6,762.0,683,
7T,MÃ¡tyÃ¡s Farkas,24,Hungary,HUN,11.6,762.0,683,
7T,Branko Kallay,19,Yugoslavia,YUG,11.6,762.0,683,
16T,Paavo YrjÃ¶lÃ¤,25,Finland,FIN,11.8,714.4,643,
16T,Wilhelm Ladewig,21,Germany,GER,11.8,714.4,643,
16T,Sven Lundgren,26,Sweden,SWE,11.8,714.4,643,
16T,Erwin Huber,21,Germany,GER,11.8,714.4,643,
16T,Gheorghe Csegezi,,Romania,ROU,11.8,714.4,643,
16T,Con O'Callaghan,,Ireland,IRL,11.8,714.4,643,
16T,Gunnar Fredriksen,21,Norway,NOR,11.8,714.4,643,
16T,Armas Wahlstedt,22,Finland,FIN,11.8,714.4,643,
24T,Albert Andersson,26,Sweden,SWE,12.0,666.8,605,
24T,Henry Lindblad,22,Sweden,SWE,12.0,666.8,605,
24T,Hugo Barth,24,Germany,GER,12.0,666.8,605,
24T,Martti Tolamo,21,Finland,FIN,12.0,666.8,605,
24T,Stelios Benardis,,Greece,GRE,12.0,666.8,605,
24T,Gaston MÃ©dÃ©cin,27,Monaco,MON,12.0,666.8,605,
24T,Gunnar Hagen,23,Norway,NOR,12.0,666.8,605,
31T,Antoni Cejzik,28,Poland,POL,12.2,619.2,567,
31T,RenÃ© Joannes-Powell,32,Belgium,BEL,12.2,619.2,567,
31T,Ion Haidu,,Romania,ROU,12.2,619.2,567,
34T,Yonetaro Nakazawa,24,Japan,JPN,12.4,571.6,531,
34T,GÃ©rard NoÃ«l,27,Belgium,BEL,12.4,571.6,531,
34T,Virgil Ioan,,Romania,ROU,12.4,571.6,531,
37,Howard Ford,22,Great Britain,GBR,12.8,476.4,461,
38,Gaston Ãtienne,26,Belgium,BEL,13.0,428.8,428,
