
Rank,Athlete,Age,Team,NOC,D,P(1912BT),P(1985T),
1,Bob Tisdall,25,Ireland,IRL,49.0,96992,855,OB
2,Akilles JÃ¤rvinen,26,Finland,FIN,50.6,909.76,781,
3,Wolrad Eberle,24,Germany,GER,50.8,902.24,772,
4,Buster Charles,24,United States,USA,51.2,887.20,754,
5,Erwin Wegner,23,Germany,GER,51.6,872.16,736,
6,Clyde Coffman,21,United States,USA,51.8,864.64,727,
7,Paavo YrjÃ¶lÃ¤,30,Finland,FIN,52.6,834.56,693,
8,Hans-Heinrich Sievert,22,Germany,GER,53.6,796.96,650,
9T,PÃ©ter BÃ¡csalmÃ¡si,23,Hungary,HUN,53.8,789.44,642,
9T,Zygmunt Siedlecki,25,Poland,POL,53.8,789.44,642,
11,Jim Bausch,26,United States,USA,54.2,774.40,626,
12,JÄnis Dimza,25,Latvia,LAT,54.8,751.84,601,
13,Harry Hart,26,South Africa,RSA,57.2,661.60,508,
