
Rank,Athlete,Age,Team,NOC,D,P(1912BT),P(1985T),
1,Jim Bausch,26,United States,USA,44.58,97606,758,OB
2,Hans-Heinrich Sievert,22,Germany,GER,44.54,97454,757,
3,PÃ©ter BÃ¡csalmÃ¡si,23,Hungary,HUN,41.45,857.12,694,
4,Wolrad Eberle,24,Germany,GER,41.34,852.94,692,
5,Paavo YrjÃ¶lÃ¤,30,Finland,FIN,40.77,831.28,680,
6,JÄnis Dimza,25,Latvia,LAT,40.76,830.90,680,
7,Harry Hart,26,South Africa,RSA,40.62,825.58,677,
8,Zygmunt Siedlecki,25,Poland,POL,39.05,765.92,645,
9,Buster Charles,24,United States,USA,38.71,753.00,638,
10,Akilles JÃ¤rvinen,26,Finland,FIN,36.80,680.42,600,
11,Clyde Coffman,21,United States,USA,34.40,589.22,552,
12,Bob Tisdall,25,Ireland,IRL,33.31,547.80,530,
13,Erwin Wegner,23,Germany,GER,33.26,545.90,529,
