
Rank,Athlete,Age,Team,NOC,D,P(1912BT),P(1985T),
1,Jim Bausch,26,United States,USA,61.91,1.025025,767,OB
2,Akilles JÃ¤rvinen,26,Finland,FIN,61.00,1000.000,753,
3,Wolrad Eberle,24,Germany,GER,57.49,903.475,700,
4,Paavo YrjÃ¶lÃ¤,30,Finland,FIN,56.12,865.800,680,
5,Hans-Heinrich Sievert,22,Germany,GER,53.91,805.025,647,
6,Erwin Wegner,23,Germany,GER,53.83,802.825,645,
7,Harry Hart,26,South Africa,RSA,50.49,710.975,596,
8,Clyde Coffman,21,United States,USA,48.88,666.700,572,
9,PÃ©ter BÃ¡csalmÃ¡si,23,Hungary,HUN,48.59,658.725,568,
10,Buster Charles,24,United States,USA,47.72,634.800,555,
11,Bob Tisdall,25,Ireland,IRL,45.26,567.150,519,
