
Rank,Athlete,Age,Team,NOC,D,P(1912BT),P(1985T),
1T,Jim Bausch,26,United States,USA,4.00,1.027,617,OB
1T,Clyde Coffman,21,United States,USA,4.00,1.027,617,OB
3,Akilles JÃ¤rvinen,26,Finland,FIN,3.60,811,509,
4T,Wolrad Eberle,24,Germany,GER,3.50,757,482,
4T,PÃ©ter BÃ¡csalmÃ¡si,23,Hungary,HUN,3.50,757,482,
4T,JÄnis Dimza,25,Latvia,LAT,3.50,757,482,
7,Buster Charles,24,United States,USA,3.40,703,457,
8T,Hans-Heinrich Sievert,22,Germany,GER,3.20,595,406,
8T,Bob Tisdall,25,Ireland,IRL,3.20,595,406,
10T,Paavo YrjÃ¶lÃ¤,30,Finland,FIN,3.10,541,381,
10T,Erwin Wegner,23,Germany,GER,3.10,541,381,
10T,Harry Hart,26,South Africa,RSA,3.10,541,381,
13,Zygmunt Siedlecki,25,Poland,POL,3.00,487,357,
