
Rank,Athlete,Age,Team,NOC,T,P(1934T),P(1985T),
1,Glenn Morris,24,United States,USA,14.9,946,833,OB
2,Jack Parker,20,United States,USA,15.0,929,821,
3,Armin Guhl,28,Switzerland,SUI,15.6,833,751,
4,Bob Clark,23,United States,USA,15.7,818,740,
5,Erwin Huber,29,Germany,GER,15.8,804,728,
6T,Ãmile Binet,28,Belgium,BEL,16.0,776,706,
6T,Olle Bexell,27,Sweden,SWE,16.0,776,706,
6T,Leif Dahlgren,30,Sweden,SWE,16.0,776,706,
9,Edvard Natvig,28,Norway,NOR,16.1,762,695,
10T,Jan Brasser,23,Netherlands,NED,16.2,749,684,
10T,Helmut Bonnet,26,Germany,GER,16.2,749,684,
12T,Fritz DÃ¤llenbach,24,Switzerland,SUI,16.3,736,673,
12T,Lyuben Doychev,24,Bulgaria,BUL,16.3,736,673,
14,Jerzy PÅawczyk,25,Poland,POL,16.4,723,662,
15T,Aulis Reinikka,20,Finland,FIN,16.5,710,652,
15T,Franz Sterzl,28,Austria,AUT,16.5,710,652,
17T,Martti Tolamo,29,Finland,FIN,16.6,698,641,
17T,Willy BÃ¼hrer,24,Switzerland,SUI,16.6,698,641,
19,ZoltÃ¡n CsÃ¡nyi,23,Hungary,HUN,17.0,651,599,
20,Josef Klein,19,Czechoslovakia,TCH,17.3,618,569,
21,Osvaldo Wenzel,24,Chile,CHI,18.2,529,483,
22,PÃ©ter BÃ¡csalmÃ¡si,27,Hungary,HUN,18.4,511,464,
23,Maurice Boulanger,27,Belgium,BEL,19.2,444,395,
