
Rank,Athlete,Age,Team,NOC,T(H),T(A),P(1952T),P(1985HT),P(1985AT),
1,Olli Reikko,25,Finland,FIN,4:28.0,4:28.01,526,758,758,OB
2,Vladimir Volkov,31,Soviet Union,URS,4:33.2,4:33.25,475,724,723,
3,Fernando Fernandes,32,Portugal,POR,4:37.0,4:37.32,441,699,697,
4,GÃ¶ran Widenfelt,23,Sweden,SWE,4:38.6,4:38.84,427,689,688,
5,Sergey Kuznetsov,34,Soviet Union,URS,4:42.0,4:42.22,396,668,666,
6,Friedel Schirmer,26,Germany,GER,4:47.6,4:47.95,352,633,631,
7,BrÃ­gido Iriarte,31,Venezuela,VEN,4:49.8,4:49.98,336,620,619,
8,Bob Mathias,21,United States,USA,4:50.8,4:51.11,328,614,612,
9,Reinaldo Oliver,20,Puerto Rico,PUR,4:51.8,4:52.20,321,608,605,
10,Floyd Simmons,29,United States,USA,4:53.4,4:53.70,309,598,597,
11,Bob Adams,27,Canada,CAN,4:57.0,4:57.25,283,577,576,
12T,Sepp Hipp,25,Germany,GER,4:57.2,4:57.32,281,576,575,
12T,Kjell TÃ¥nnander,25,Sweden,SWE,4:57.2,4:57.64,281,576,573,
14,HernÃ¡n Figueroa,24,Chile,CHI,4:58.2,4:58.61,274,570,568,
15,Max Wehrli,22,Switzerland,SUI,4:58.6,4:58.10,272,568,571,
16,Eeles LandstrÃ¶m,20,Finland,FIN,5:01.0,5:00.96,255,554,554,
17,Oto Rebula,30,Yugoslavia,YUG,5:01.8,5:01.93,249,549,549,
18,Geoff Elliott,21,Great Britain,GBR,5:03.6,5:03.88,238,539,538,
19,Milt Campbell,18,United States,USA,5:07.2,5:07.60,216,519,517,
20T,Hugues Frayer,29,France,FRA,5:14.4,5:14.40,175,480,480,
20T,HÃ©ctor RomÃ¡n,19,Puerto Rico,PUR,5:14.4,5:14.58,175,480,479,
