
Rank,Athlete,Age,Team,NOC,D,P(1952T),P(1985T),
1,Bob Mathias,21,United States,USA,46.89,838,806,OB
2,Sepp Hipp,25,Germany,GER,45.84,802,784,
3,Bob Adams,27,Canada,CAN,42.45,696,715,
4,Sergey Kuznetsov,34,Soviet Union,URS,41.04,656,686,
5,Milt Campbell,18,United States,USA,40.50,640,675,
6,Hugues Frayer,29,France,FRA,40.02,627,665,
7,GÃ¶ran Widenfelt,23,Sweden,SWE,39.53,613,655,
8,Kjell TÃ¥nnander,25,Sweden,SWE,39.30,607,650,
9,Oto Rebula,30,Yugoslavia,YUG,38.55,587,635,
10,BrÃ­gido Iriarte,31,Venezuela,VEN,38.23,578,629,
11,HernÃ¡n Figueroa,24,Chile,CHI,38.08,574,626,
12,Vladimir Volkov,31,Soviet Union,URS,38.04,573,625,
13,Floyd Simmons,29,United States,USA,37.77,566,619,
14,Erkki HautamÃ¤ki,21,Finland,FIN,37.20,552,608,
15,Friedel Schirmer,26,Germany,GER,37.01,547,604,
16,Max Wehrli,22,Switzerland,SUI,36.81,541,600,
17,Eeles LandstrÃ¶m,20,Finland,FIN,34.51,483,554,
18,Fernando Fernandes,32,Portugal,POR,34.27,477,549,
19,Geoff Elliott,21,Great Britain,GBR,34.21,476,548,
20,HÃ©ctor RomÃ¡n,19,Puerto Rico,PUR,32.98,446,523,
21,Olli Reikko,25,Finland,FIN,30.72,392,479,
22,Reinaldo Oliver,20,Puerto Rico,PUR,29.95,374,463,
