
Rank,Athlete,Age,Team,NOC,H,P(1952T),P(1985T),
1,Eeles LandstrÃ¶m,20,Finland,FIN,4.20,855,673,OB
2,Geoff Elliott,21,Great Britain,GBR,4.10,795,645,
3,Bob Mathias,21,United States,USA,4.00,745,617,
4T,Vladimir Volkov,31,Soviet Union,URS,3.80,645,562,
4T,Max Wehrli,22,Switzerland,SUI,3.80,645,562,
6,Bob Adams,27,Canada,CAN,3.70,596,535,
7T,Floyd Simmons,29,United States,USA,3.60,556,509,
7T,Sergey Kuznetsov,34,Soviet Union,URS,3.60,556,509,
9T,Sepp Hipp,25,Germany,GER,3.50,516,482,
9T,GÃ¶ran Widenfelt,23,Sweden,SWE,3.50,516,482,
9T,Kjell TÃ¥nnander,25,Sweden,SWE,3.50,516,482,
9T,Friedel Schirmer,26,Germany,GER,3.50,516,482,
9T,Olli Reikko,25,Finland,FIN,3.50,516,482,
9T,HernÃ¡n Figueroa,24,Chile,CHI,3.50,516,482,
9T,Reinaldo Oliver,20,Puerto Rico,PUR,3.50,516,482,
16T,Hugues Frayer,29,France,FRA,3.40,476,457,
16T,BrÃ­gido Iriarte,31,Venezuela,VEN,3.40,476,457,
16T,Oto Rebula,30,Yugoslavia,YUG,3.40,476,457,
16T,HÃ©ctor RomÃ¡n,19,Puerto Rico,PUR,3.40,476,457,
16T,Erkki HautamÃ¤ki,21,Finland,FIN,3.40,476,457,
21,Milt Campbell,18,United States,USA,3.30,438,431,
22,Fernando Fernandes,32,Portugal,POR,3.00,328,357,
