
Rank,Athlete,Age,Team,NOC,D,P(1952T),P(1985T),
1,Bob Mathias,21,United States,USA,15.30,912,808,
2,Milt Campbell,18,United States,USA,13.89,759,722,
3,Sepp Hipp,25,Germany,GER,13.26,696,683,
4,Floyd Simmons,29,United States,USA,13.18,688,678,
5,Kjell TÃ¥nnander,25,Sweden,SWE,12.97,669,665,
6,Oto Rebula,30,Yugoslavia,YUG,12.90,663,661,
7,HernÃ¡n Figueroa,24,Chile,CHI,12.87,660,659,
8,Ignace Heinrich,26,France,FRA,12.83,656,657,
9,Max Wehrli,22,Switzerland,SUI,12.73,647,651,
10,Friedel Schirmer,26,Germany,GER,12.69,644,648,
11,Vladimir Volkov,31,Soviet Union,URS,12.62,637,644,
12,Geoff Elliott,21,Great Britain,GBR,12.40,618,631,
13,Hugues Frayer,29,France,FRA,12.36,614,628,
14,Erkki HautamÃ¤ki,21,Finland,FIN,12.19,599,618,
15,Bob Adams,27,Canada,CAN,12.01,582,607,
16,Olli Reikko,25,Finland,FIN,11.85,568,597,
17,Eeles LandstrÃ¶m,20,Finland,FIN,11.75,560,591,
18,Sergey Kuznetsov,34,Soviet Union,URS,11.71,556,589,
19,BrÃ­gido Iriarte,31,Venezuela,VEN,11.66,552,586,
20,GÃ¶ran Widenfelt,23,Sweden,SWE,11.61,548,583,
21,HÃ©ctor RomÃ¡n,19,Puerto Rico,PUR,11.56,544,580,
22,Fernando Fernandes,32,Portugal,POR,11.20,516,558,
23,Reinaldo Oliver,20,Puerto Rico,PUR,10.22,437,499,
24,Carlos Vera,23,Chile,CHI,9.52,387,457,
25,Georges Breitman,32,France,FRA,9.28,369,443,
