
Rank,Athlete,Age,Team,NOC,Medal,P(1952T),P(1985AT),P(1985HT),
1,Bob Mathias,21,United States,USA,Gold,7887,7.580,7.589,WR
2,Milt Campbell,18,United States,USA,Silver,6975,6.948,6.986,
3,Floyd Simmons,29,United States,USA,Bronze,6788,6.903,6.948,
4,Vladimir Volkov,31,Soviet Union,URS,,6674,6.868,6.902,
5,Sepp Hipp,25,Germany,GER,,6449,6.705,6.743,
6,GÃ¶ran Widenfelt,23,Sweden,SWE,,6388,6.661,6.679,
7,Kjell TÃ¥nnander,25,Sweden,SWE,,6308,6.607,6.616,
8,Friedel Schirmer,26,Germany,GER,,6118,6.464,6.513,
9,Geoff Elliott,21,Great Britain,GBR,,6044,6.353,6.392,
10,Sergey Kuznetsov,34,Soviet Union,URS,,5937,6.349,6.362,
11,Hugues Frayer,29,France,FRA,,5772,6.168,6.208,
12,BrÃ­gido Iriarte,31,Venezuela,VEN,,5770,6.250,6.284,
13,Olli Reikko,25,Finland,FIN,,5725,6.170,6.198,
14,Eeles LandstrÃ¶m,20,Finland,FIN,,5694,6.123,6.147,
15,Oto Rebula,30,Yugoslavia,YUG,,5648,6.135,6.178,
16,Fernando Fernandes,32,Portugal,POR,,5604,6.088,6.132,
17,HernÃ¡n Figueroa,24,Chile,CHI,,5592,6.087,6.126,
18,Max Wehrli,22,Switzerland,SUI,,5561,6.053,6.075,
19,Bob Adams,27,Canada,CAN,,5530,6.035,6.049,
20,HÃ©ctor RomÃ¡n,19,Puerto Rico,PUR,,5264,5.834,5.884,
21,Reinaldo Oliver,20,Puerto Rico,PUR,,5228,5.817,5.859,
AC,Erkki HautamÃ¤ki,21,Finland,FIN,,,,,DNF
AC,Ignace Heinrich,26,France,FRA,,,,,DNF
AC,Carlos Vera,23,Chile,CHI,,,,,DNF
AC,Georges Breitman,32,France,FRA,,,,,DNF
AC,Fotios Kosmas,25,Greece,GRE,,,,,DNF
AC,Pyotr Kozhevnikov,,Soviet Union,URS,,,,,DNF
AC,Pat Leane,22,Australia,AUS,,,,,DNF
