Athlete,D,P(1985AT),
1,Rafer Johnson,48.49,894,
2,Yang C. K.,39.83,622,
3,Vasily Kuznetsov,50.52,972,
4,Yuriy Kutenko,45.63,795,
5,Eef Kamerbeek,44.31,753,
6,Franco Sar,49.58,935,
7,Markus Kahma,44.93,773,
8,Klaus Grogorenz,40.12,630,
9,JoÅ¾e Brodnik,37.66,563,
10,Manfred Bock,37.69,564,
11,Fritz Vogelsang,37.03,547,
12,Seppo Suutari,37.94,571,
13,Luciano Paccagnella,45.67,797,
14,BjÃ¶rgvin HÃ³lm,39.50,612,
15,Herman Timme,39.08,601,
16,Walter Meier,39.18,603,
17,Hans Muchitsch,31.79,418,
18,LÃ©opold Marien,34.28,427,
19,Juris Laipenieks,40.49,640,
20,HÃ©ctor Thomas,40.77,648,
21,Rodolfo Mijares,37.55,561,
22,George Stulac,37.35,555,
23,Panagiotis Epitropopoulos,34.68,487,
