
Rank,Athlete,Age,Team,NOC,Medal,P(1952HT),P(1985HT),P(1985AT),
1,Rafer Johnson,25,United States,USA,Gold,8392,7.901,7.926,OR
2,Yang C. K.,27,Chinese Taipei,TPE,Silver,8334,7.820,7.839,OR
3,Vasily Kuznetsov,28,Soviet Union,URS,Bronze,7809,7.527,7.557,
4,Yuriy Kutenko,28,Soviet Union,URS,,7567,7.401,7.442,
5,Eef Kamerbeek,26,Netherlands,NED,,7236,7.213,7.237,
6,Franco Sar,26,Italy,ITA,,7195,7.140,7.174,
7,Markus Kahma,27,Finland,FIN,,7112,7.161,7.181,
8,Klaus Grogorenz,23,Germany,GER,,7032,7.078,7.114,
9,JoÅ¾e Brodnik,24,Yugoslavia,YUG,,6918,7.005,7.042,
10,Manfred Bock,19,Germany,GER,,6894,7.006,7.037,
11,Fritz Vogelsang,27,Switzerland,SUI,,6767,6.881,6.912,
12,Seppo Suutari,19,Finland,FIN,,6751,6.876,6.914,
13,Luciano Paccagnella,21,Italy,ITA,,6279,6.566,6.583,
14,BjÃ¶rgvin HÃ³lm,25,Iceland,ISL,,6261,6.601,6.639,
15,Herman Timme,27,Netherlands,NED,,6206,6.501,6.530,
16,Walter Meier,33,Germany,GER,,6000,6.116,6.149,
17,Hans Muchitsch,27,Austria,AUT,,5950,6.319,6.341,
18,LÃ©opold Marien,26,Belgium,BEL,,5919,6.303,6.335,
19,Juris Laipenieks,20,Chile,CHI,,5865,6.314,6.349,
20,HÃ©ctor Thomas,21,Venezuela,VEN,,5753,6.188,6.227,
21,Rodolfo Mijares,22,Mexico,MEX,,5413,5.939,5.967,
22,George Stulac,26,Canada,CAN,,5198,5.786,5.814,
23,Panagiotis Epitropopoulos,22,Greece,GRE,,4737,5.365,5.409,
AC,Iuri Diachk'ovi,20,Soviet Union,URS,,,,,DNF
AC,Phil Mulkey,27,United States,USA,,,,,DNF
AC,Gurbachan Singh Randhawa,21,India,IND,,,,,DNF
AC,Mirko Kolnik,24,Yugoslavia,YUG,,,,,DNF
AC,Alois BÃ¼chel,19,Liechtenstein,LIE,,,,,DNF
AC,JÃºlio Vilar Santos,24,Portugal,POR,,,,,DNF
AC,Dave Edstrom,21,United States,USA,,,,,DNF
