
Rank,Athlete,Age,Team,NOC,T,P(1962HT),P(1985HT),
1T,HÃ©ctor Thomas,26,Venezuela,VEN,10.7,879,874,=OB
1T,Willi Holdorf,24,Germany,GER,10.7,879,874,=OB
3T,Vasily Kuznetsov,32,Soviet Union,URS,10.9,828,830,
3T,Rein Aun,24,Soviet Union,URS,10.9,828,830,
5T,Hans-Joachim Walde,22,Germany,GER,11.0,804,808,
5T,Russ Hodge,25,United States,USA,11.0,804,808,
5T,Mykhailo Storozhenko,26,Soviet Union,URS,11.0,804,808,
5T,Yang C. K.,31,Chinese Taipei,TPE,11.0,804,808,
9T,Shosuke Suzuki,27,Japan,JPN,11.1,780,786,
9T,Dramane Sereme,22,Mali,MLI,11.1,780,786,
9T,ValbjÃ¶rn ÃorlÃ¡ksson,30,Iceland,ISL,11.1,780,786,
12T,Dick Emberger,26,United States,USA,11.2,756,765,
12T,Paul Herman,23,United States,USA,11.2,756,765,
12T,Horst Beyer,24,Germany,GER,11.2,756,765,
12T,Bill Gairdner,23,Canada,CAN,11.2,756,765,
16T,Alois BÃ¼chel,23,Liechtenstein,LIE,11.3,733,744,
16T,Werner Duttweiler,24,Switzerland,SUI,11.3,733,744,
16T,Franco Sar,30,Italy,ITA,11.3,733,744,
16T,Eef Kamerbeek,30,Netherlands,NED,11.3,733,744,
20,Gerry Moro,21,Canada,CAN,11.6,665,683,
21T,Koech Kiprop,,Kenya,KEN,11.7,643,663,
21T,Wu Ah-Min,26,Chinese Taipei,TPE,11.7,643,663,
