
Rank,Athlete,Age,Team,NOC,T,P(1962HT),P(1985HT),
1,Yang C. K.,31,Chinese Taipei,TPE,14.7,881,857,
2,Franco Sar,30,Italy,ITA,14.8,870,845,
3T,Vasily Kuznetsov,32,Soviet Union,URS,14.9,859,833,
3T,Dick Emberger,26,United States,USA,14.9,859,833,
5T,Mykhailo Storozhenko,26,Soviet Union,URS,15.0,848,821,
5T,Willi Holdorf,24,Germany,GER,15.0,848,821,
7,Koech Kiprop,,Kenya,KEN,15.1,837,809,
8T,Horst Beyer,24,Germany,GER,15.2,827,797,
8T,Paul Herman,23,United States,USA,15.2,827,797,
10,Hans-Joachim Walde,22,Germany,GER,15.3,817,785,
11,Bill Gairdner,23,Canada,CAN,15.4,807,774,
12,ValbjÃ¶rn ÃorlÃ¡ksson,30,Iceland,ISL,15.6,787,751,
13T,Rein Aun,24,Soviet Union,URS,15.9,757,717,
13T,Werner Duttweiler,24,Switzerland,SUI,15.9,757,717,
15,Russ Hodge,25,United States,USA,16.0,748,706,
16,Dramane Sereme,22,Mali,MLI,16.4,712,662,
17,Shosuke Suzuki,27,Japan,JPN,16.5,703,652,
18,HÃ©ctor Thomas,26,Venezuela,VEN,16.7,685,631,
19,Gerry Moro,21,Canada,CAN,16.8,676,620,
20,Alois BÃ¼chel,23,Liechtenstein,LIE,17.5,621,549,
