Rank,Athlete,Age,Team,NOC,Medal,P(1962HT),P(1985HT),P(1985AT),
1,Bill Toomey,29,United States,USA,Gold,8.193,8.064,8144,OR
2,Hans-Joachim Walde,26,West Germany,FRG,Silver,8.111,8.032,8094,
3,Kurt Bendlin,25,West Germany,FRG,Bronze,8.064,8.005,8071,
4,Mykola Avilov,20,Soviet Union,URS,,7.909,7.795,7862,
5,Joachim Kirst,21,East Germany,GDR,,7.861,7.702,7760,
6,Tom Waddell,30,United States,USA,,7.719,7.608,7675,
7,Rick Sloan,21,United States,USA,,7.692,7.553,7618,
8,Steen Smidt-Jensen,23,Denmark,DEN,,7.648,7.507,7564,
9,Ed de Noorlander,23,Netherlands,NED,,7.554,7.38,7443,
10,Manfred Tiedtke,26,East Germany,GDR,,7.551,7.387,7450,
11,Lennart Hedmark,24,Sweden,SWE,,7.481,7.339,7396,
12,Walter DieÃl,25,Austria,AUT,,7.465,7.302,7358,
13,Clive Longe,29,Great Britain,GBR,,7.338,7.175,7240,
14,JÄnis Lanka,28,Soviet Union,URS,,7.227,6.938,7011,
15,Wu Ah-Min,30,Chinese Taipei,TPE,,7.209,7.081,7154,
16,Spas Dzhurov,23,Bulgaria,BUL,,7.173,6.992,7056,
17,Roger Lespagnard,21,Belgium,BEL,,7.125,6.932,7005,
18,Urs Trautmann,28,Switzerland,SUI,,7.044,6.85,6923,
19,Franz Biedermann,22,Liechtenstein,LIE,,6.323,6.16,6220,
20,Don VÃ©lez,20,Nicaragua,NCA,,5.943,5.757,5823,
AC,Gert Herunter,26,Austria,AUT,,,,,DNF
AC,Hansruedi Kunz,23,Switzerland,SUI,,,,,DNF
AC,Charlemagne Anyamah,30,France,FRA,,,,,DNF
AC,Roberto Carmona,24,Mexico,MEX,,,,,DNF
AC,ValbjÃ¶rn ÃorlÃ¡ksson,34,Iceland,ISL,,,,,DNF
AC,Herbert Wessel,25,East Germany,GDR,,,,,DNF
AC,Chen Chuan-Show,27,Chinese Taipei,TPE,,,,,DNF
AC,Rein Aun,28,Soviet Union,URS,,,,,DNF
AC,Ho Henh PhÆ°Æ¡c,28,South Vietnam,VNM,,,,,DNF
AC,Horst Mandl,32,Austria,AUT,,,,,DNF
AC,Dominique Rakotorahalahy,24,Madagascar,MAD,,,,,DNF
AC,Werner von Moltke,32,West Germany,FRG,,,,,DNF
AC,Werner Duttweiler,28,Switzerland,SUI,,,,,DNF
