
Rank,Athlete,Age,Team,NOC,T(H),P(1962T),P(1985T),
1,Leonid Lytvynenko,23,Soviet Union,URS,4:05.9,768,910,OB
2,Jeff Bennett,23,United States,USA,4:12.2,718,866,
3,Jeff Bannister,26,United States,USA,4:15.8,690,840,
4,Bruce Jenner,22,United States,USA,4:18.9,668,819,
5,RÃ©gis GhesquiÃ¨re,23,Belgium,BEL,4:19.4,664,816,
6,Mykola Avilov,24,Soviet Union,URS,4:22.8,639,793,
7,Steen Smidt-Jensen,27,Denmark,DEN,4:24.7,626,780,
8,Freddy Herbrand,28,Belgium,BEL,4:27.7,605,760,
9,Roger Lespagnard,25,Belgium,BEL,4:28.7,598,753,
10,Ryszard Katus,25,Poland,POL,4:31.9,577,732,
11T,Boris Ivanov,24,Soviet Union,URS,4:37.4,541,697,
11T,Wilfred Mwalawanda,27,Malawi,MAW,4:37.4,541,697,
13T,Barry King,27,Great Britain,GBR,4:38.6,533,689,
13T,Vijay Singh Chauhan,23,India,IND,4:38.6,533,689,
15,Jean-Pierre Schoebel,23,France,FRA,4:38.8,532,688,
16,Radu GavrilaÈ,20,Romania,ROU,4:43.1,506,661,
17,Heinz Born,24,Switzerland,SUI,4:47.9,476,631,
18,Stefan Schreyer,25,East Germany,GDR,4:48.2,475,630,
19,Sepp Zeilbauer,19,Austria,AUT,4:58.2,418,570,
20,Yves Le Roy,21,France,FRA,4:58.9,414,566,
21,Tadeusz Janczenko,26,Poland,POL,5:01.5,400,551,
AC,JÃ³zsef Bakai,30,Hungary,HUN,,,0,DNF
