
Rank,Athlete,Age,Team,NOC,T(A),T(H),P(1962HT),P(1971AT),P(1985AT),
1,Peter Gabbett,30,Great Britain,GBR,46.10,46.1,994,994,1.003,
2,Jeff Bennett,23,United States,USA,46.25,46.3,984,987,996,
3,Jeff Bannister,26,United States,USA,46.79,46.8,958,959,969,
4,Ruedi Mangisch,19,Switzerland,SUI,47.59,47.6,918,918,929,
5,Ryszard Skowronek,23,Poland,POL,48.08,48.1,893,894,905,
6,Leonid Lytvynenko,23,Soviet Union,URS,48.40,48.4,880,879,890,
7,Mykola Avilov,24,Soviet Union,URS,48.45,48.5,875,877,887,
8,Yves Le Roy,21,France,FRA,48.73,48.7,866,863,874,
9,Sepp Zeilbauer,19,Austria,AUT,48.77,48.8,861,862,872,
10,Joachim Kirst,25,East Germany,GDR,48.90,48.9,856,855,866,
11,Tadeusz Janczenko,26,Poland,POL,4906,49.1,847,848,858,
12,Ryszard Katus,25,Poland,POL,49.11,49.1,847,846,856,
13,RÃ©gis GhesquiÃ¨re,23,Belgium,BEL,49.13,49.1,847,845,855,
14,Jean-Pierre Schoebel,23,France,FRA,49.23,49.2,842,840,850,
15,Bruce Jenner,22,United States,USA,49.49,49.5,829,828,838,
16T,Stefan Schreyer,25,East Germany,GDR,49.51,49.5,829,827,837,
16T,Roger Lespagnard,25,Belgium,BEL,49.51,49.5,829,827,837,
18,Clifford Brooks,28,Barbados,BAR,49.75,49.8,814,816,826,
19,Freddy Herbrand,28,Belgium,BEL,49.78,49.8,814,815,825,
20,Vijay Singh Chauhan,23,India,IND,49.89,49.9,810,810,820,
21,Heinz Born,24,Switzerland,SUI,50.01,50.0,805,805,814,
22,Barry King,27,Great Britain,GBR,50.05,50.1,801,803,812,
23,Steen Smidt-Jensen,27,Denmark,DEN,5013,50.1,801,799,809,
24,Boris Ivanov,24,Soviet Union,URS,50.18,50.2,797,797,806,
25,JÃ³zsef Bakai,30,Hungary,HUN,50.88,50.9,766,766,774,
26,Radu GavrilaÈ,20,Romania,ROU,50.90,50.9,766,765,774,
27,Luis Flores,24,Guatemala,GUA,50.97,51.0,762,762,770,
28,Gerry Moro,29,Canada,CAN,52.02,52.0,720,718,724,
29,Wilfred Mwalawanda,27,Malawi,MAW,52.68,52.7,691,691,695,
