
Rank,Athlete,Age,Team,NOC,D,P(1962T),P(1985T),
1,Wilfred Mwalawanda,27,Malawi,MAW,71.28,894,909,
2,Bruce Jenner,22,United States,USA,66.02,833,829,
3,Boris Ivanov,24,Soviet Union,URS,64.84,819,811,
4,Sepp Zeilbauer,19,Austria,AUT,64.46,815,805,
5,Tadeusz Janczenko,26,Poland,POL,63.80,807,795,
6T,Mykola Avilov,24,Soviet Union,URS,61.66,781,763,
6T,Yves Le Roy,21,France,FRA,61.66,781,763,
8,RÃ©gis GhesquiÃ¨re,23,Belgium,BEL,60.88,772,751,
9,Stefan Schreyer,25,East Germany,GDR,60.70,770,748,
10,Ryszard Katus,25,Poland,POL,59.96,761,737,
11,Leonid Lytvynenko,23,Soviet Union,URS,58.94,748,722,
12,Barry King,27,Great Britain,GBR,57.74,733,704,
13,Jean-Pierre Schoebel,23,France,FRA,57.54,731,701,
14,Jeff Bennett,23,United States,USA,57.48,730,700,
15,Radu GavrilaÈ,20,Romania,ROU,57.16,726,695,
16,Jeff Bannister,26,United States,USA,56.98,724,693,
17,Vijay Singh Chauhan,23,India,IND,56.34,716,683,
18,Steen Smidt-Jensen,27,Denmark,DEN,55.24,701,666,
19,JÃ³zsef Bakai,30,Hungary,HUN,52.18,662,621,
20,Roger Lespagnard,25,Belgium,BEL,50.60,641,597,
21,Freddy Herbrand,28,Belgium,BEL,50.42,639,595,
22,Heinz Born,24,Switzerland,SUI,48.72,615,570,
AC,Peter Gabbett,30,Great Britain,GBR,,0,0,NM
AC,Ruedi Mangisch,19,Switzerland,SUI,,0,0,NM
