
Rank,Athlete,Age,Team,NOC,Medal,P(1962HT),P(1971AT),P(1985AT),
1,Mykola Avilov,24,Soviet Union,URS,Gold,8.454,8.456,8.467,WR
2,Leonid Lytvynenko,23,Soviet Union,URS,Silver,8.035,8.034,7.970,
3,Ryszard Katus,25,Poland,POL,Bronze,7.984,7.983,7.936,
4,Jeff Bennett,23,United States,USA,,7.974,7.977,7.920,
5,Stefan Schreyer,25,East Germany,GDR,,7.950,7.948,7.907,
6,Freddy Herbrand,28,Belgium,BEL,,7.947,7.948,7.897,
7,Steen Smidt-Jensen,27,Denmark,DEN,,7.947,7.947,7.908,
8,Tadeusz Janczenko,26,Poland,POL,,7.861,7.860,7.789,
9,Sepp Zeilbauer,19,Austria,AUT,,7.741,7.742,7.694,
10,Bruce Jenner,22,United States,USA,,7.722,7.721,7.671,
11,RÃ©gis GhesquiÃ¨re,23,Belgium,BEL,,7.677,7.675,7.611,
12,Yves Le Roy,21,France,FRA,,7.675,7.672,7.633,
13,Boris Ivanov,24,Soviet Union,URS,,7.657,7.657,7.606,
14,Roger Lespagnard,25,Belgium,BEL,,7.519,7.517,7.441,
15,Barry King,27,Great Britain,GBR,,7.468,7.470,7.382,
16,Radu GavrilaÈ,20,Romania,ROU,,7.417,7.416,7.357,
17,Vijay Singh Chauhan,23,India,IND,,7.378,7.378,7.306,
18,Jean-Pierre Schoebel,23,France,FRA,,7.273,7.271,7.217,
19,Heinz Born,24,Switzerland,SUI,,7.217,7.217,7.121,
20,JÃ³zsef Bakai,30,Hungary,HUN,,7.071,7.071,6.831,
21,Jeff Bannister,26,United States,USA,,7.022,7.023,6.947,
22,Wilfred Mwalawanda,27,Malawi,MAW,,6.227,6.227,6.154,
AC,Peter Gabbett,30,Great Britain,GBR,,,,,DNF
AC,Ryszard Skowronek,23,Poland,POL,,,,,DNF
AC,Ruedi Mangisch,19,Switzerland,SUI,,,,,DNF
AC,Luis Flores,24,Guatemala,GUA,,,,,DNF
AC,Clifford Brooks,28,Barbados,BAR,,,,,DNF
AC,Gerry Moro,29,Canada,CAN,,,,,DNF
AC,Joachim Kirst,25,East Germany,GDR,,,,,DNF
AC,Hans-Joachim Walde,30,West Germany,FRG,,,,,DNF
AC,Lennart Hedmark,28,Sweden,SWE,,,,,DNF
AC,Hans-Joachim Perk,26,West Germany,FRG,,,,,DNF
AC,Horst Beyer,32,West Germany,FRG,,,,,DNF
