
Rank,Athlete,Age,Team,NOC,T(A),P(1977AT),P(1985AT),
1,Guido Kratschmer,23,West Germany,FRG,10.66,890,938,
2,Eberhard Stroot,25,West Germany,FRG,10.75,867,917,
3,Daley Thompson,17,Great Britain,GBR,10.79,857,908,
4,Claus Marek,22,West Germany,FRG,10.81,852,903,
5,Fred Samara,26,United States,USA,10.85,841,894,
6,Johannes Lahti,24,Finland,FIN,10.89,831,885,
7,Raimo Pihl,26,Sweden,SWE,10.93,822,876,
8T,Fred Dixon,26,United States,USA,10.94,819,874,
8T,Bruce Jenner,26,United States,USA,10.94,819,874,
10T,Runald Beckman,25,Sweden,SWE,11.02,799,856,
10T,Ryszard Skowronek,27,Poland,POL,11.02,799,856,
12,Ryszard Katus,29,Poland,POL,11.06,790,847,
13,Philippe Bobin,21,France,FRA,11.07,787,845,
14,Sepp Zeilbauer,23,Austria,AUT,11.08,785,843,
15,Aleksandr Grebenyuk,25,Soviet Union,URS,11.10,780,838,
16,Leonid Lytvynenko,27,Soviet Union,URS,11.12,775,834,
17,Gilles GÃ©mise-Fareau,22,France,FRA,11.15,768,827,
18,Eltjo Schutter,23,Netherlands,NED,11.17,763,823,
19,Roger Lespagnard,29,Belgium,BEL,11.21,754,814,
20,Mykola Avilov,27,Soviet Union,URS,11.23,749,810,
21,Georg Werthner,20,Austria,AUT,11.31,731,793,
22,Siegfried Stark,21,East Germany,GDR,11.35,721,784,
23,Lennart Hedmark,32,Sweden,SWE,11.36,719,782,
24,Tito Steiner,24,Argentina,ARG,11.37,717,780,
25,LudÄk Pernica,26,Czechoslovakia,TCH,11.40,710,774,
26,ElÃ­as Sveinsson,24,Iceland,ISL,11.51,685,750,
27,RÃ©gis GhesquiÃ¨re,27,Belgium,BEL,11.59,668,734,
28,Heikki LeppÃ¤nen,29,Finland,FIN,11.71,641,709,
