
Rank,Athlete,Age,Team,NOC,T(A),P(1977AT),P(1985AT),
1,Mykola Avilov,27,Soviet Union,URS,14.20,939,949,
2,Ryszard Katus,29,Poland,POL,14.51,902,910,
3,Guido Kratschmer,23,West Germany,FRG,14.58,895,901,
4,Leonid Lytvynenko,27,Soviet Union,URS,14.71,880,885,
5,Ryszard Skowronek,27,Poland,POL,14.75,876,880,
6,Lennart Hedmark,32,Sweden,SWE,14.79,871,875,
7,Bruce Jenner,26,United States,USA,14.84,866,869,
8T,Sepp Zeilbauer,23,Austria,AUT,14.87,862,865,
8T,Fred Samara,26,United States,USA,14.87,862,865,
10,Gilles GÃ©mise-Fareau,22,France,FRA,14.89,860,863,
11,Philippe Bobin,21,France,FRA,14.96,853,854,
12,Aleksandr Grebenyuk,25,Soviet Union,URS,15.05,843,843,
13,LudÄk Pernica,26,Czechoslovakia,TCH,15.07,841,841,
14,Claus Marek,22,West Germany,FRG,15.19,828,827,
15,Eberhard Stroot,25,West Germany,FRG,15.23,824,822,
16,Georg Werthner,20,Austria,AUT,15.26,821,818,
17,Johannes Lahti,24,Finland,FIN,15.31,816,812,
18,Runald Beckman,25,Sweden,SWE,15.62,785,776,
19,Siegfried Stark,21,East Germany,GDR,15.65,782,773,
20,Roger Lespagnard,29,Belgium,BEL,15.67,780,770,
21,RÃ©gis GhesquiÃ¨re,27,Belgium,BEL,15.69,778,768,
22,Raimo Pihl,26,Sweden,SWE,15.81,767,754,
23,Tito Steiner,24,Argentina,ARG,15.82,766,753,
24,Daley Thompson,17,Great Britain,GBR,15.98,750,735,
25,ElÃ­as Sveinsson,24,Iceland,ISL,16.19,731,711,
26,Fred Dixon,26,United States,USA,18.11,574,514,
