Rank,Athlete,Age,Team,NOC,Medal,P(1971AT),P(1977AT),P(1985AT),
1,Bruce Jenner,26,United States,USA,Gold,8.618,8.617,8634,WR
2,Guido Kratschmer,23,West Germany,FRG,Silver,8.411,8.411,8407,
3,Mykola Avilov,27,Soviet Union,URS,Bronze,8.369,8.371,8378,
4,Raimo Pihl,26,Sweden,SWE,,8.218,8.22,8217,
5,Ryszard Skowronek,27,Poland,POL,,8.113,8.113,8099,
6,Siegfried Stark,21,East Germany,GDR,,8.048,8.045,8051,
7,Leonid Lytvynenko,27,Soviet Union,URS,,8.025,8.022,7963,
8,Lennart Hedmark,32,Sweden,SWE,,7.974,7.974,8002,
9,Aleksandr Grebenyuk,25,Soviet Union,URS,,7.803,7.802,7759,
10,Claus Marek,22,West Germany,FRG,,7.767,7.766,7683,
11,Johannes Lahti,24,Finland,FIN,,7.711,7.708,7650,
12,Ryszard Katus,29,Poland,POL,,7.616,7.617,7568,
13,LudÄk Pernica,26,Czechoslovakia,TCH,,7.602,7.603,7535,
14,Philippe Bobin,21,France,FRA,,7.58,7.581,7532,
15,Fred Samara,26,United States,USA,,7.504,7.505,7430,
16,Georg Werthner,20,Austria,AUT,,7.493,7.494,7443,
17,Gilles GÃ©mise-Fareau,22,France,FRA,,7.486,7.486,7423,
18,Daley Thompson,17,Great Britain,GBR,,7.434,7.436,7330,
19,Roger Lespagnard,29,Belgium,BEL,,7.322,7.321,7221,
20,Runald Beckman,25,Sweden,SWE,,7.319,7.32,7229,
21,Eberhard Stroot,25,West Germany,FRG,,7.063,7.062,7202,
22,Tito Steiner,24,Argentina,ARG,,7.052,7.052,6942,
23,Fred Dixon,26,United States,USA,,6.754,6.754,6808,
AC,Sepp Zeilbauer,23,Austria,AUT,,,,,DNF
AC,RÃ©gis GhesquiÃ¨re,27,Belgium,BEL,,,,,DNF
AC,ElÃ­as Sveinsson,24,Iceland,ISL,,,,,DNF
AC,Eltjo Schutter,23,Netherlands,NED,,,,,DNF
AC,Heikki LeppÃ¤nen,29,Finland,FIN,,,,,DNF
