
Rank,Athlete,Age,Team,NOC,H,P(1977T),P(1985T),
1,Sergey Zhelanov,23,Soviet Union,URS,2.18,1.009,973,OB
2T,Daley Thompson,21,Great Britain,GBR,2.08,925,878,
2T,Yury Kutsenko,28,Soviet Union,URS,2.08,925,878,
2T,Dariusz Ludwig,25,Poland,POL,2.08,925,878,
2T,Valeriu Caceanov,26,Soviet Union,URS,2.08,925,878,
6T,Esa Jokinen,22,Finland,FIN,2.06,909,859,
6T,Sandro Brogini,21,Italy,ITA,2.06,909,859,
8T,Georg Werthner,24,Austria,AUT,2.03,882,831,
8T,Sepp Zeilbauer,27,Austria,AUT,2.03,882,831,
8T,Johannes Lahti,28,Finland,FIN,2.03,882,831,
11T,Atanas Andonov,25,Bulgaria,BUL,2.00,857,803,
11T,Janusz Szczerkowski,26,Poland,POL,2.00,857,803,
13,Stephan Niklaus,22,Switzerland,SUI,1.97,831,776,
14,Steffen Grummt,20,East Germany,GDR,1.94,804,749,
15T,Brad McStravick,24,Great Britain,GBR,1.91,779,723,
15T,Miro Ronac,18,Peru,PER,1.91,779,723,
17T,Peter Hadfield,25,Australia,AUS,1.85,725,670,
17T,Razvigor Yankov,26,Bulgaria,BUL,1.85,725,670,
17T,Columba Blango,24,Sierra Leone,SLE,1.85,725,670,
