
Rank,Athlete,Age,Team,NOC,D,P(1977T),P(1985T),
AC,Rainer Pottel,26,East Germany,GDR,,0,0,NM
1,Daley Thompson,21,Great Britain,GBR,8.00,1.020,1.061,OB
2,Yury Kutsenko,28,Soviet Union,URS,7.74,969,995,
3,Valeriu Caceanov,26,Soviet Union,URS,7.65,951,972,
4,Sergey Zhelanov,23,Soviet Union,URS,7.60,941,960,
5,Dariusz Ludwig,25,Poland,POL,7.51,923,937,
6,Janusz Szczerkowski,26,Poland,POL,7.38,897,905,
7,Peter Hadfield,25,Australia,AUS,7.36,893,900,
8,Sandro Brogini,21,Italy,ITA,7.33,887,893,
9T,Georg Werthner,24,Austria,AUT,7.27,875,878,
9T,Esa Jokinen,22,Finland,FIN,7.27,875,878,
11,Johannes Lahti,28,Finland,FIN,7.20,861,862,
12,Sepp Zeilbauer,27,Austria,AUT,7.14,848,847,
13,Siegfried Stark,25,East Germany,GDR,7.00,820,814,
14,Stephan Niklaus,22,Switzerland,SUI,6.93,806,797,
15T,Atanas Andonov,25,Bulgaria,BUL,6.86,791,781,
15T,Steffen Grummt,20,East Germany,GDR,6.86,791,781,
17,Brad McStravick,24,Great Britain,GBR,6.74,765,753,
18,Miro Ronac,18,Peru,PER,6.72,761,748,
19,Razvigor Yankov,26,Bulgaria,BUL,6.61,738,723,
20,Columba Blango,24,Sierra Leone,SLE,6.40,693,675,
