
Rank,Athlete,Age,Team,NOC,T,P(1977AT),P(1985AT),
1,Daley Thompson,25,Great Britain,GBR,10.44,948,989,
2,Michele RÃ¼fenacht,24,Switzerland,SUI,10.72,874,924,
3,Guido Kratschmer,31,West Germany,FRG,10.80,854,906,
4,JÃ¼rgen Hingsen,26,West Germany,FRG,10.91,826,881,
5,Brad McStravick,28,Great Britain,GBR,10.92,824,878,
6,Lee Fu-An,20,Chinese Taipei,TPE,10.98,809,865,
7,Siggi Wentz,24,West Germany,FRG,10.99,807,863,
8,Jim Wooding,30,United States,USA,11.04,795,852,
9T,Fidel SolÃ³rzano,22,Ecuador,ECU,11.15,768,827,
9T,Peter Hadfield,29,Australia,AUS,11.15,768,827,
11T,Dave Steen,24,Canada,CAN,11.20,756,817,
11T,Trond Skramstad,23,Norway,NOR,11.20,756,817,
13,Tim Bright,24,United States,USA,11.22,752,812,
14T,Weng Kangqiang,25,China,CHN,11.28,738,799,
14T,William Motti,20,France,FRA,11.28,738,799,
16,John Crist,29,United States,USA,11.33,726,789,
17,Vivian Coralie,22,Mauritius,MRI,11.37,717,780,
18,Georg Werthner,28,Austria,AUT,11.41,708,771,
19,Ku Chin-Shui,24,Chinese Taipei,TPE,11.42,705,769,
20,Patrick Vetterli,22,Switzerland,SUI,11.44,701,765,
21,Colin Boreham,30,Great Britain,GBR,11.46,696,761,
22,Albert Miller,26,Fiji,FIJ,11.48,692,757,
23,Mohamed Mansour Salah,,Qatar,QAT,11.51,685,750,
24,Ãngel DÃ­az,22,Guatemala,GUA,11.54,679,744,
25,Douglas FernÃ¡ndez,24,Venezuela,VEN,11.59,668,734,
26,Claudio Escauriza,26,Paraguay,PAR,11.66,652,719,
