
Rank,Athlete,Age,Team,NOC,T,P(1977AT),P(1985AT),
1,JÃ¼rgen Hingsen,26,West Germany,FRG,14.29,928,937,
2,Daley Thompson,25,Great Britain,GBR,14.33,923,932,
3,Siggi Wentz,24,West Germany,FRG,14.35,921,930,
4,Tim Bright,24,United States,USA,14.52,901,908,
5T,Jim Wooding,30,United States,USA,14.57,896,902,
5T,Michele RÃ¼fenacht,24,Switzerland,SUI,14.57,896,902,
7,Guido Kratschmer,31,West Germany,FRG,14.66,886,891,
8,William Motti,20,France,FRA,14.71,880,885,
9,Ku Chin-Shui,24,Chinese Taipei,TPE,14.91,858,860,
10T,Brad McStravick,28,Great Britain,GBR,15.01,847,848,
10T,John Crist,29,United States,USA,15.01,847,848,
12,Peter Hadfield,29,Australia,AUS,15.05,843,843,
13,Trond Skramstad,23,Norway,NOR,15.08,840,840,
14,Patrick Vetterli,22,Switzerland,SUI,15.14,834,833,
15,Weng Kangqiang,25,China,CHN,15.21,826,824,
16T,Albert Miller,26,Fiji,FIJ,15.36,811,806,
16T,Georg Werthner,28,Austria,AUT,15.36,811,807,
18,Dave Steen,24,Canada,CAN,15.39,808,803,
19,Colin Boreham,30,Great Britain,GBR,15.48,799,792,
20,Lee Fu-An,20,Chinese Taipei,TPE,15.49,798,791,
21,Ãngel DÃ­az,22,Guatemala,GUA,16.02,747,730,
22,Douglas FernÃ¡ndez,24,Venezuela,VEN,16.05,744,727,
23,Mohamed Mansour Salah,,Qatar,QAT,16.20,730,710,
24,Fidel SolÃ³rzano,22,Ecuador,ECU,16.22,728,708,
25,Vivian Coralie,22,Mauritius,MRI,16.39,713,689,
26,Claudio Escauriza,26,Paraguay,PAR,17.51,619,572,
