
Rank,Athlete,Age,Team,NOC,H,P(1977AT),P(1985AT),
1,JÃ¼rgen Hingsen,26,West Germany,FRG,2.12,959,915,
2,Siggi Wentz,24,West Germany,FRG,2.09,934,887,
3T,John Crist,29,United States,USA,2.06,909,859,
3T,William Motti,20,France,FRA,2.06,909,859,
5T,Daley Thompson,25,Great Britain,GBR,2.03,882,831,
5T,Dave Steen,24,Canada,CAN,2.03,882,831,
5T,Ku Chin-Shui,24,Chinese Taipei,TPE,2.03,882,831,
5T,Lee Fu-An,20,Chinese Taipei,TPE,2.03,882,831,
5T,Patrick Vetterli,22,Switzerland,SUI,2.03,882,831,
10T,Michele RÃ¼fenacht,24,Switzerland,SUI,2.00,857,803,
10T,Tim Bright,24,United States,USA,2.00,857,803,
12T,Colin Boreham,30,Great Britain,GBR,1.97,831,776,
12T,Jim Wooding,30,United States,USA,1.97,831,776,
14T,Brad McStravick,28,Great Britain,GBR,1.94,804,749,
14T,Fidel SolÃ³rzano,22,Ecuador,ECU,1.94,804,749,
14T,Georg Werthner,28,Austria,AUT,1.94,804,749,
14T,Guido Kratschmer,31,West Germany,FRG,1.94,804,749,
18T,Albert Miller,26,Fiji,FIJ,1.91,779,723,
18T,Ãngel DÃ­az,22,Guatemala,GUA,1.91,779,723,
20T,Douglas FernÃ¡ndez,24,Venezuela,VEN,1.88,751,696,
20T,Mohamed Mansour Salah,,Qatar,QAT,1.88,751,696,
20T,Weng Kangqiang,25,China,CHN,1.88,751,696,
23,Trond Skramstad,23,Norway,NOR,1.85,725,670,
24T,Claudio Escauriza,26,Paraguay,PAR,1.82,698,644,
24T,Vivian Coralie,22,Mauritius,MRI,1.82,698,644,
26,Peter Hadfield,29,Australia,AUS,1.76,643,593,
