
Rank,Athlete,Age,Team,NOC,D,P(1977AT),P(1985AT),
1,Georg Werthner,28,Austria,AUT,76.96,956,996,
2,Weng Kangqiang,25,China,CHN,69.72,876,885,
3,Guido Kratschmer,31,West Germany,FRG,69.40,872,880,
4,Siggi Wentz,24,West Germany,FRG,67.68,853,854,
5,Douglas FernÃ¡ndez,24,Venezuela,VEN,67.12,846,846,
6,Daley Thompson,25,Great Britain,GBR,65.24,824,817,
7,Patrick Vetterli,22,Switzerland,SUI,64.66,817,808,
8,Claudio Escauriza,26,Paraguay,PAR,64.16,811,801,
9,William Motti,20,France,FRA,63.76,807,795,
10,Ku Chin-Shui,24,Chinese Taipei,TPE,62.36,790,773,
11,John Crist,29,United States,USA,61.88,784,766,
12,Brad McStravick,28,Great Britain,GBR,61.54,780,761,
13,JÃ¼rgen Hingsen,26,West Germany,FRG,60.44,767,744,
14,Jim Wooding,30,United States,USA,57.20,726,696,
15,Dave Steen,24,Canada,CAN,56.92,723,692,
16,Peter Hadfield,29,Australia,AUS,55.22,701,666,
17,Michele RÃ¼fenacht,24,Switzerland,SUI,55.10,700,664,
18,Lee Fu-An,20,Chinese Taipei,TPE,54.96,698,662,
19,Trond Skramstad,23,Norway,NOR,54.94,698,662,
20,Tim Bright,24,United States,USA,53.66,681,643,
21,Colin Boreham,30,Great Britain,GBR,52.66,668,628,
22,Fidel SolÃ³rzano,22,Ecuador,ECU,48.66,615,569,
23,Ãngel DÃ­az,22,Guatemala,GUA,47.96,605,558,
24,Mohamed Mansour Salah,,Qatar,QAT,45.02,564,515,
25,Vivian Coralie,22,Mauritius,MRI,41.58,514,465,
