
Rank,Athlete,Age,Team,NOC,D,P(1977AT),P(1985AT),
1,Daley Thompson,25,Great Britain,GBR,8.01,1.022,1.063,OB
2,JÃ¼rgen Hingsen,26,West Germany,FRG,7.80,980,1.010,
3,William Motti,20,France,FRA,7.45,911,922,
4,Dave Steen,24,Canada,CAN,7.41w,903,913,
5,Guido Kratschmer,31,West Germany,FRG,7.40,901,910,
6,Weng Kangqiang,25,China,CHN,7.30,881,886,
7,Trond Skramstad,23,Norway,NOR,7.18,857,857,
8T,Patrick Vetterli,22,Switzerland,SUI,7.13,846,845,
8T,Peter Hadfield,29,Australia,AUS,7.13,846,845,
10,Siggi Wentz,24,West Germany,FRG,7.11,842,840,
11,Jim Wooding,30,United States,USA,7.01,822,816,
12,Lee Fu-An,20,Chinese Taipei,TPE,7.00,820,814,
13,Fidel SolÃ³rzano,22,Ecuador,ECU,6.99,818,811,
14,John Crist,29,United States,USA,6.98w,816,809,
15T,Georg Werthner,28,Austria,AUT,6.96,812,804,
15T,Michele RÃ¼fenacht,24,Switzerland,SUI,6.96,812,804,
17,Colin Boreham,30,Great Britain,GBR,6.90,800,790,
18,Ku Chin-Shui,24,Chinese Taipei,TPE,6.89,798,788,
19,Brad McStravick,28,Great Britain,GBR,6.82,782,771,
20,Tim Bright,24,United States,USA,6.75,767,755,
21,Douglas FernÃ¡ndez,24,Venezuela,VEN,6.74,765,753,
22,Mohamed Mansour Salah,,Qatar,QAT,6.62,740,725,
23,Claudio Escauriza,26,Paraguay,PAR,6.51,717,700,
24,Ãngel DÃ­az,22,Guatemala,GUA,6.48,710,693,
25,Albert Miller,26,Fiji,FIJ,6.32,675,657,
26,Vivian Coralie,22,Mauritius,MRI,5.84w,568,552,
