
Rank,Athlete,Age,Team,NOC,H,P(1977AT),P(1985AT),
1,Tim Bright,24,United States,USA,5.40,1.143,1.035,OB
2,Daley Thompson,25,Great Britain,GBR,5.00,1.052,910,
3T,Guido Kratschmer,31,West Germany,FRG,4.90,1.028,880,
3T,Ku Chin-Shui,24,Chinese Taipei,TPE,4.90,1.028,880,
5T,Dave Steen,24,Canada,CAN,4.80,1.005,849,
5T,John Crist,29,United States,USA,4.80,1.005,849,
7,Georg Werthner,28,Austria,AUT,4.70,981,819,
8T,Jim Wooding,30,United States,USA,4.60,957,790,
8T,Weng Kangqiang,25,China,CHN,4.60,957,790,
10T,JÃ¼rgen Hingsen,26,West Germany,FRG,4.50,932,760,
10T,Lee Fu-An,20,Chinese Taipei,TPE,4.50,932,760,
10T,Patrick Vetterli,22,Switzerland,SUI,4.50,932,760,
10T,Peter Hadfield,29,Australia,AUS,4.50,932,760,
10T,Siggi Wentz,24,West Germany,FRG,4.50,932,760,
10T,Trond Skramstad,23,Norway,NOR,4.50,932,760,
10T,William Motti,20,France,FRA,4.50,932,760,
17,Douglas FernÃ¡ndez,24,Venezuela,VEN,4.40,909,731,
18T,Brad McStravick,28,Great Britain,GBR,4.30,884,702,
19T,Michele RÃ¼fenacht,24,Switzerland,SUI,4.30,884,702,
20,Colin Boreham,30,Great Britain,GBR,4.20,859,673,
21,Claudio Escauriza,26,Paraguay,PAR,4.00,807,617,
22,Mohamed Mansour Salah,,Qatar,QAT,3.50,672,482,
23,Ãngel DÃ­az,22,Guatemala,GUA,3.30,615,431,
24,Fidel SolÃ³rzano,22,Ecuador,ECU,3.10,558,381,
25,Vivian Coralie,22,Mauritius,MRI,3.00,528,357,
AC,Albert Miller,26,Fiji,FIJ,,0,0,NH
