
Rank,Athlete,Age,Team,NOC,D,P(1977AT),P(1985AT),
1,Guido Kratschmer,31,West Germany,FRG,15.93,843,847,
2T,JÃ¼rgen Hingsen,26,West Germany,FRG,15.87,840,843,
2T,Siggi Wentz,24,West Germany,FRG,15.87,840,843,
4,Daley Thompson,25,Great Britain,GBR,15.72,831,834,
5,William Motti,20,France,FRA,14.42,754,754,
6,Trond Skramstad,23,Norway,NOR,14.20,740,741,
7,Claudio Escauriza,26,Paraguay,PAR,14.10,734,734,
8,John Crist,29,United States,USA,14.05,731,731,
9,Jim Wooding,30,United States,USA,13.90,722,722,
10,Patrick Vetterli,22,Switzerland,SUI,13.88,720,721,
11,Michele RÃ¼fenacht,24,Switzerland,SUI,13.86,719,720,
12T,Georg Werthner,28,Austria,AUT,13.80,716,716,
12T,Tim Bright,24,United States,USA,13.80,716,716,
14,Peter Hadfield,29,Australia,AUS,13.68,708,709,
15,Colin Boreham,30,Great Britain,GBR,13.51,697,698,
16,Brad McStravick,28,Great Britain,GBR,13.38,689,690,
17,Douglas FernÃ¡ndez,24,Venezuela,VEN,13.12,672,675,
18,Albert Miller,26,Fiji,FIJ,13.07,669,672,
19,Lee Fu-An,20,Chinese Taipei,TPE,13.02,666,668,
20,Ku Chin-Shui,24,Chinese Taipei,TPE,12.76,649,653,
21,Dave Steen,24,Canada,CAN,12.57,637,641,
22,Weng Kangqiang,25,China,CHN,12.45,629,634,
23,Mohamed Mansour Salah,,Qatar,QAT,11.54,568,579,
24,Fidel SolÃ³rzano,22,Ecuador,ECU,10.09,467,491,
25,Vivian Coralie,22,Mauritius,MRI,9.79,444,473,
26,Ãngel DÃ­az,22,Guatemala,GUA,9.62,432,463,
