Rank,Athlete,Age,Team,NOC,Medal,P(1977AT),P(1985AT),
1,Daley Thompson,25,Great Britain,GBR,Gold,8.798,8847,WR
2,JÃ¼rgen Hingsen,26,West Germany,FRG,Silver,8.673,8695,OR
3,Siggi Wentz,24,West Germany,FRG,Bronze,8.412,8416,
4,Guido Kratschmer,31,West Germany,FRG,,8.326,8357,
5,William Motti,20,France,FRA,,8.266,8278,
6,John Crist,29,United States,USA,,8.13,8115,
7,Jim Wooding,30,United States,USA,,8.091,8054,
8,Dave Steen,24,Canada,CAN,,8.047,8025,
9,Georg Werthner,28,Austria,AUT,,8.012,8028,
10,Michele RÃ¼fenacht,24,Switzerland,SUI,,7.924,7855,
11,Brad McStravick,28,Great Britain,GBR,,7.89,7830,
12,Tim Bright,24,United States,USA,,7.862,7862,
13,Patrick Vetterli,22,Switzerland,SUI,,7.739,7717,
14,Peter Hadfield,29,Australia,AUS,,7.683,7633,
15,Weng Kangqiang,25,China,CHN,,7.662,7662,
16,Ku Chin-Shui,24,Chinese Taipei,TPE,,7.629,7614,
17,Trond Skramstad,23,Norway,NOR,,7.579,7522,
18,Douglas FernÃ¡ndez,24,Venezuela,VEN,,7.553,7505,
19,Lee Fu-An,20,Chinese Taipei,TPE,,7.541,7471,
20,Colin Boreham,30,Great Britain,GBR,,7.485,7400,
21,Mohamed Mansour Salah,,Qatar,QAT,,6.589,6477,
22,Claudio Escauriza,26,Paraguay,PAR,,6.546,6290,
23,Fidel SolÃ³rzano,22,Ecuador,ECU,,6.519,6439,
24,Ãngel DÃ­az,22,Guatemala,GUA,,6.342,6272,
25,Vivian Coralie,22,Mauritius,MRI,,6.084,6008,
AC,Albert Miller,26,Fiji,FIJ,,,,DNF
