
Rank,Athlete,Age,Team,NOC,H,P(1985AT),
1,Christian Schenk,23,East Germany,GDR,2.27,1061,OB
2,Alex Kruger,24,Great Britain,GBR,2.15,944,
3,Christian Plaziat,24,France,FRA,2.12,915,
4T,DezsÅ SzabÃ³,21,Hungary,HUN,2.06,859,
4T,Santiago Mellado,25,El Salvador,ESA,2.06,859,
4T,Tim Bright,28,United States,USA,2.06,859,
7T,Christian Gugler,28,Switzerland,SUI,2.03,831,
7T,Daley Thompson,30,Great Britain,GBR,2.03,831,
7T,Dave Johnson,25,United States,USA,2.03,831,
7T,Lee Fu-An,24,Chinese Taipei,TPE,2.03,831,
7T,Simon Poelman,25,New Zealand,NZL,2.03,831,
12T,Antonio PeÃ±alver,19,Spain,ESP,2.00,803,
12T,Mikael Olander,25,Sweden,SWE,2.00,803,
12T,Rob de Wit,26,Netherlands,NED,2.00,803,
12T,Valter KÃ¼lvet,24,Soviet Union,URS,2.00,803,
16T,Alain Blondel,25,France,FRA,1.97,776,
16T,Dave Steen,28,Canada,CAN,1.97,776,
16T,Gary Kinder,25,United States,USA,1.97,776,
16T,Mike Smith,21,Canada,CAN,1.97,776,
16T,Pavlo Tarnovetskiy,27,Soviet Union,URS,1.97,776,
16T,Petri Keskitalo,21,Finland,FIN,1.97,776,
16T,Simon Shirley,22,Australia,AUS,1.97,776,
16T,Torsten Voss,25,East Germany,GDR,1.97,776,
24T,Albert Miller,30,Fiji,FIJ,1.94,749,
24T,Beat GÃ¤hwiler,23,Switzerland,SUI,1.94,749,
24T,Georg Werthner,32,Austria,AUT,1.94,749,
24T,Lars Warming,25,Denmark,DEN,1.94,749,
24T,Uwe Freimuth,27,East Germany,GDR,1.94,749,
24T,VÄroslav Valenta,23,Czechoslovakia,TCH,1.94,749,
30T,Gong Guohua,24,China,CHN,1.91,723,
30T,Lee Gwang-Ik,19,South Korea,KOR,1.91,723,
32T,Carlos O'Connell,25,Ireland,IRL,1.88,696,
32T,Fidel SolÃ³rzano,26,Ecuador,ECU,1.88,696,
34,Severin Moser,25,Switzerland,SUI,1.85,670,
35,Greg Richards,32,Great Britain,GBR,1.82,644,
36,Roman HrabaÅ,26,Czechoslovakia,TCH,1.79,619,
37,Dambar Kuwar,,Nepal,NEP,1.70,544,
