
Rank,Athlete,Age,Team,NOC,H,P(1985AT),
1,Tim Bright,28,United States,USA,5.70,1132,OB
2T,Alain Blondel,25,France,FRA,5.20,972,
2T,Dave Steen,28,Canada,CAN,5.20,972,
2T,Pavlo Tarnovetskiy,27,Soviet Union,URS,5.20,972,
5,Torsten Voss,25,East Germany,GDR,5.10,941,
6,DezsÅ SzabÃ³,21,Hungary,HUN,5.00,910,
7T,Christian Plaziat,24,France,FRA,4.90,880,
7T,Daley Thompson,30,Great Britain,GBR,4.90,880,
7T,Dave Johnson,25,United States,USA,4.90,880,
7T,Roman HrabaÅ,26,Czechoslovakia,TCH,4.90,880,
7T,Simon Poelman,25,New Zealand,NZL,4.90,880,
7T,Uwe Freimuth,27,East Germany,GDR,4.90,880,
13T,Lars Warming,25,Denmark,DEN,4.80,849,
13T,Mikael Olander,25,Sweden,SWE,4.80,849,
13T,Petri Keskitalo,21,Finland,FIN,4.80,849,
13T,Rob de Wit,26,Netherlands,NED,4.80,849,
17T,Beat GÃ¤hwiler,23,Switzerland,SUI,4.70,819,
17T,Christian Gugler,28,Switzerland,SUI,4.70,819,
17T,Christian Schenk,23,East Germany,GDR,4.70,819,
17T,Severin Moser,25,Switzerland,SUI,4.70,819,
17T,Simon Shirley,22,Australia,AUS,4.70,819,
22T,Alex Kruger,24,Great Britain,GBR,4.60,790,
22T,Georg Werthner,32,Austria,AUT,4.60,790,
22T,Gong Guohua,24,China,CHN,4.60,790,
22T,Santiago Mellado,25,El Salvador,ESA,4.60,790,
22T,VÄroslav Valenta,23,Czechoslovakia,TCH,4.60,790,
27T,Greg Richards,32,Great Britain,GBR,4.50,760,
27T,Lee Fu-An,24,Chinese Taipei,TPE,4.50,760,
29T,Antonio PeÃ±alver,19,Spain,ESP,4.40,731,
29T,Carlos O'Connell,25,Ireland,IRL,4.40,731,
31,Mike Smith,21,Canada,CAN,4.30,702,
32,Lee Gwang-Ik,19,South Korea,KOR,4.10,645,
33,Albert Miller,30,Fiji,FIJ,4.00,617,
34,Dambar Kuwar,,Nepal,NEP,2.80,309,
