
Rank,Athlete,Age,Team,NOC,D,P(1985AT),
1,Antonio PeÃ±alver,23,Spain,ESP,16.50,882,OB
2,Rob Muzzio,28,United States,USA,16.02,852,
3,Rob de Wit,29,Netherlands,NED,15.48,819,
4,William Motti,27,France,FRA,15.44,817,
5,Petri Keskitalo,25,Finland,FIN,15.41,815,
6,Paul Meier,20,Germany,GER,15.34,811,
7,Thorsten Dauth,24,Germany,GER,15.29,808,
8,Dave Johnson,29,United States,USA,15.28,807,
9,Viktor Radchenko,24,Unified Team,EUN,15.21,803,
10,Mike Smith,24,Canada,CAN,15.03,792,
11,Christian Plaziat,28,France,FRA,14.88,782,
12,Eduard HÃ¤mÃ¤lÃ¤inen,23,Unified Team,EUN,14.78,776,
13,Pedro da Silva Filho,25,Brazil,BRA,14.71,772,
14,Gernot Kellermayr,26,Austria,AUT,14.56,763,
15,Robert ZmÄlÃ­k,23,Czechoslovakia,TCH,14.53,761,
16,Ãlvaro Burrell,23,Spain,ESP,14.41,753,
17,Ramil Ganiyev,23,Unified Team,EUN,14.35,750,
18,Sten Ekberg,27,Sweden,SWE,14.32,748,
19,Aric Long,22,United States,USA,14.00,728,
20,DezsÅ SzabÃ³,24,Hungary,HUN,13.73,712,
21,Dean Smith,24,Australia,AUS,13.67,708,
22,Eric Momberger,23,Papua New Guinea,PNG,13.57,702,
23,Alain Blondel,29,France,FRA,13.56,701,
24,Frank MÃ¼ller,24,Germany,GER,13.55,701,
25,Alper KasapoÄlu,26,Turkey,TUR,13.40,692,
26,Albert Miller,34,Fiji,FIJ,13.21,680,
27,Andrei Nazarov,27,Estonia,EST,13.11,674,
28,Francisco Benet,24,Spain,ESP,12.99,667,
29,Beat GÃ¤hwiler,27,Switzerland,SUI,12.92,662,
30,David Bigham,21,Great Britain,GBR,12.56,640,
31,SÃ¡ndor MunkÃ¡csy,23,Hungary,HUN,12.56,640,
32,Erki Nool,22,Estonia,EST,12.14,615,
33,Homelo Vi,24,Tonga,TGA,11.97,605,
34,Jorge Flores,20,Honduras,HON,9.54,458,
35,Ibrahim Al-Matrooshi,22,United Arab Emirates,UAE,8.62,403,
