Rank,Athlete,Age,Team,NOC,Medal,P(1985AT),
1,Robert ZmÄlÃ­k,23,Czechoslovakia,TCH,Gold,8611,
2,Antonio PeÃ±alver,23,Spain,ESP,Silver,8412,
3,Dave Johnson,29,United States,USA,Bronze,8309,
4,DezsÅ SzabÃ³,24,Hungary,HUN,,8199,
5,Rob Muzzio,28,United States,USA,,8195,
6,Paul Meier,20,Germany,GER,,8192,
7,William Motti,27,France,FRA,,8164,
8,Ramil Ganiyev,23,Unified Team,EUN,,8160,
9,Sten Ekberg,27,Sweden,SWE,,8136,
10,Rob de Wit,29,Netherlands,NED,,8109,
11,Gernot Kellermayr,26,Austria,AUT,,8076,
12,Viktor Radchenko,24,Unified Team,EUN,,8071,
13,Frank MÃ¼ller,24,Germany,GER,,8066,
14,Andrei Nazarov,27,Estonia,EST,,8052,
15,Alain Blondel,29,France,FRA,,8031,
16,Ãlvaro Burrell,23,Spain,ESP,,7952,
17,Thorsten Dauth,24,Germany,GER,,7951,
18,David Bigham,21,Great Britain,GBR,,7754,
19,Dean Smith,24,Australia,AUS,,7703,
20,SÃ¡ndor MunkÃ¡csy,23,Hungary,HUN,,7698,
21,Beat GÃ¤hwiler,27,Switzerland,SUI,,7676,
22,Francisco Benet,24,Spain,ESP,,7484,
23,Alper KasapoÄlu,26,Turkey,TUR,,7205,
24,Albert Miller,34,Fiji,FIJ,,6971,
25,Eric Momberger,23,Papua New Guinea,PNG,,6780,
26,Homelo Vi,24,Tonga,TGA,,6768,
27,Ibrahim Al-Matrooshi,22,United Arab Emirates,UAE,,6124,
28,Jorge Flores,20,Honduras,HON,,5746,
AC,Erki Nool,22,Estonia,EST,,,DNF
AC,Pedro da Silva Filho,25,Brazil,BRA,,,DNF
AC,Aric Long,22,United States,USA,,,DNF
AC,Mike Smith,24,Canada,CAN,,,DNF
AC,Christian Plaziat,28,France,FRA,,,DNF
AC,Eduard HÃ¤mÃ¤lÃ¤inen,23,Unified Team,EUN,,,DNF
AC,Petri Keskitalo,25,Finland,FIN,,,DNF
AC,Simon Poelman,29,New Zealand,NZL,,,DNF
