
Rank,Athlete,Age,Team,NOC,D,P(1985AT),
1,Frank Busemann,21,Germany,GER,8.07,1.079,OB
2,Erki Nool,26,Estonia,EST,7.88,1.030,
3,Christian Plaziat,32,France,FRA,7.82,1.015,
4,Steve Fritz,28,United States,USA,7.77,1.002,
5,Sebastian Chmara,24,Poland,POL,7.75w,997,
6,Robert ZmÄlÃ­k,27,Czech Republic,CZE,7.64,970,
7,Ramil Ganiyev,27,Uzbekistan,UZB,7.61,962,
8,TomÃ¡Å¡ DvoÅÃ¡k,24,Czech Republic,CZE,7.60,960,
9,Dan O'Brien,30,United States,USA,7.57,952,
10T,Victor Houston,22,Barbados,BAR,7.53,942,
10T,Vitaliy Kolpakov,24,Ukraine,UKR,7.53,942,
12,Dirk-Achim Pajonk,27,Germany,GER,7.50,935,
13,Chris Huffins,26,United States,USA,7.49,932,
14,Eduard HÃ¤mÃ¤lÃ¤inen,27,Belarus,BLR,7.48,930,
15,Mike Smith,28,Canada,CAN,7.47,927,
16,Lev Lobodin,27,Ukraine,UKR,7.35,898,
17T,Doug Pirini,26,New Zealand,NZL,7.33,893,
17T,Jack Rosendaal,22,Netherlands,NED,7.33,893,
19T,Francisco Benet,28,Spain,ESP,7.30,886,
19T,RaÃºl Duany,21,Cuba,CUB,7.30,886,
21,JÃ³n Arnar MagnÃºsson,26,Iceland,ISL,7.28,881,
22,Antonio PeÃ±alver,27,Spain,ESP,7.27,878,
23,Indrek Kaseorg,28,Estonia,EST,7.26,876,
24,Frank MÃ¼ller,28,Germany,GER,7.25,874,
25,Oleg Veretelnikov,24,Uzbekistan,UZB,7.24,871,
26T,Alper KasapoÄlu,30,Turkey,TUR,7.22,866,
26T,Kamil DamaÅ¡ek,22,Czech Republic,CZE,7.22,866,
28,Marcel Dost,26,Netherlands,NED,7.21,864,
29,SÃ©bastien Levicq,25,France,FRA,7.16,852,
30,Philipp Huber,22,Switzerland,SUI,7.15,850,
31,Zsolt KÃ¼rtÃ¶si,25,Hungary,HUN,7.05,826,
32,Beniamino Poserina,25,Italy,ITA,6.98,809,
33,Rojs Piziks,25,Latvia,LAT,6.86,781,
34,Nikolay Afanasyev,30,Russia,RUS,6.74,753,
35,Scott Ferrier,22,Australia,AUS,6.61,723,
36,Alex Kruger,32,Great Britain,GBR,6.55,709,
37,Eugenio BalanquÃ©,27,Cuba,CUB,6.36,666,
AC,Andrei Nazarov,31,Estonia,EST,,0,NM
AC,DezsÅ SzabÃ³,28,Hungary,HUN,,0,NM
AC,Peter Winter,25,Australia,AUS,,0,NM
