
Rank,Athlete,Age,Team,NOC,T,P(1985AT),
1,Dmitry Karpov,23,Kazakhstan,KAZ,13.97,978,
2T,Chiel Warners,26,Netherlands,NED,14.01,973,
2T,Maurice Smith,23,Jamaica,JAM,14.01,973,
2T,Stefan Drews,25,Germany,GER,14.01,973,
5,Roman Å ebrle,29,Czech Republic,CZE,14.05,968,
6T,Bryan Clay,24,United States,USA,14.13,958,
6T,Luiggy Llanos,25,Puerto Rico,PUR,14.13,958,
8,Claston Bernard,25,Jamaica,JAM,14.17,953,
9,Tom Pappas,27,United States,USA,14.18,951,
10,Aleksandr Pogorelov,24,Russia,RUS,14.21,948,
11T,Laurent Hernu,27,France,FRA,14.25,942,
11T,Roland Schwarzl,23,Austria,AUT,14.25,942,
13,Indrek Turi,23,Estonia,EST,14.26,941,
14,Florian SchÃ¶nbeck,30,Germany,GER,14.34,931,
15,Romain Barras,24,France,FRA,14.37,927,
16,Nikolay Averyanov,24,Russia,RUS,14.39,925,
17,David GÃ³mez,23,Spain,ESP,14.41,922,
18,Dean Macey,26,Great Britain,GBR,14.56,903,
19,Vitaly Smirnov,25,Uzbekistan,UZB,14.77,878,
20,Qi Haifeng,21,China,CHN,14.78,876,
21,Erki Nool,34,Estonia,EST,14.80,874,
22,Aleksandr Parkhomenko,23,Belarus,BLR,14.88,864,
23,Attila ZsivÃ³czky,27,Hungary,HUN,14.95,856,
24,Prodromos Korkizoglou,29,Greece,GRE,14.96,854,
25,JÄnis KarlivÄns,22,Latvia,LAT,14.98,852,
26,Jaakko Ojaniemi,23,Finland,FIN,15.01,848,
27,EugÃ¨ne Martineau,24,Netherlands,NED,15.02,847,
28,Hans Olav Uldal,21,Norway,NOR,15.09,839,
29,Paul Terek,24,United States,USA,15.12,835,
30,Santiago Lorenzo,26,Argentina,ARG,15.38,804,
31,Paolo Casarsa,29,Italy,ITA,15.39,803,
32,Pavel Andreyev,25,Uzbekistan,UZB,15.54,785,
33,Victor Covalenco,28,Moldova,MDA,15.80,755,
AC,Ahmad Hassan Moussa,23,Qatar,QAT,,0,DNF
