
Rank,Athlete,Age,Team,NOC,D,P(1985AT),
1,Roman Å ebrle,29,Czech Republic,CZE,70.52,897,
2,Bryan Clay,24,United States,USA,69.71,885,
3,Aleksandr Parkhomenko,23,Belarus,BLR,65.82,826,
4,Romain Barras,24,France,FRA,64.55,807,
5,EugÃ¨ne Martineau,24,Netherlands,NED,63.62,792,
6,Attila ZsivÃ³czky,27,Hungary,HUN,63.45,790,
7,Maurice Smith,23,Jamaica,JAM,61.52,761,
8,Erki Nool,34,Estonia,EST,61.33,758,
9,Florian SchÃ¶nbeck,30,Germany,GER,60.89,751,
10,Vitaly Smirnov,25,Uzbekistan,UZB,60.88,751,
11,Qi Haifeng,21,China,CHN,60.79,750,
12,David GÃ³mez,23,Spain,ESP,60.71,749,
13,Hans Olav Uldal,21,Norway,NOR,60.00,738,
14,Indrek Turi,23,Estonia,EST,59.34,728,
15,Jaakko Ojaniemi,23,Finland,FIN,59.26,727,
16,Paolo Casarsa,29,Italy,ITA,58.62,717,
17,Dean Macey,26,Great Britain,GBR,58.46,715,
18,Santiago Lorenzo,26,Argentina,ARG,58.36,713,
19,Laurent Hernu,27,France,FRA,57.76,704,
20,Roland Schwarzl,23,Austria,AUT,56.32,683,
21,Dmitry Karpov,23,Kazakhstan,KAZ,55.54,671,
22,Chiel Warners,26,Netherlands,NED,55.39,669,
23,Claston Bernard,25,Jamaica,JAM,55.27,667,
24,Nikolay Averyanov,24,Russia,RUS,54.51,656,
25,Victor Covalenco,28,Moldova,MDA,53.46,640,
26,Aleksandr Pogorelov,24,Russia,RUS,53.45,640,
27,Prodromos Korkizoglou,29,Greece,GRE,53.05,634,
28,JÄnis KarlivÄns,22,Latvia,LAT,52.92,632,
29,Stefan Drews,25,Germany,GER,51.53,611,
30,Paul Terek,24,United States,USA,50.62,598,
