
Rank,Athlete,Age,Team,NOC,H,P,
1,Erki Nool,34,Estonia,EST,5.40,1035,
2,Paul Terek,24,United States,USA,5.30,1004,
3,Roland Schwarzl,23,Austria,AUT,5.10,941,
4,Stefan Drews,25,Germany,GER,5.00,910,
5T,Aleksandr Pogorelov,24,Russia,RUS,5.00,910,
5T,Florian SchÃ¶nbeck,30,Germany,GER,5.00,910,
7,Roman Å ebrle,29,Czech Republic,CZE,5.00,910,
8,Chiel Warners,26,Netherlands,NED,4.90,880,
9,Bryan Clay,24,United States,USA,4.90,880,
10,Pavel Andreyev,25,Uzbekistan,UZB,4.90,
11,Laurent Hernu,27,France,FRA,4.80,849,
12,Aleksandr Parkhomenko,23,Belarus,BLR,4.80,849,
13T,Nikolay Averyanov,24,Russia,RUS,4.80,849,
13T,Indrek Turi,23,Estonia,EST,4.80,849,
15,EugÃ¨ne Martineau,24,Netherlands,NED,4.80,849,
16,Attila ZsivÃ³czky,27,Hungary,HUN,4.70,819,
17,Prodromos Korkizoglou,29,Greece,GRE,4.70,819,
18,Vitaly Smirnov,25,Uzbekistan,UZB,4.70,819,
19T,Romain Barras,24,France,FRA,4.60,790,
19T,Dmitry Karpov,23,Kazakhstan,KAZ,4.60,790,
21,Jaakko Ojaniemi,23,Finland,FIN,4.60,790,
22T,Santiago Lorenzo,26,Argentina,ARG,4.50,760,
22T,Qi Haifeng,21,China,CHN,4.50,760,
24,Janis KarlivÄns,22,Latvia,LAT,4.50,760,
24,Hans Olav Uldal,21,Norway,NOR,4.50,760,
26,Dean Macey,26,Great Britain,GBR,4.40,731,
27T,David GÃ³mez,23,Spain,ESP,4.40,731,
27T,Paolo Casarsa,29,Italy,ITA,4.40,731,
29,Claston Bernard,25,Jamaica,JAM,4.40,731,
30,Maurice Smith,23,Jamaica,JAM,4.20,673,
AC,Tom Pappas,27,United States,USA,,NM,0
AC,Victor Covalenco,28,Moldova,MDA,,NM,0
AC,Luiggy Llanos,25,Puerto Rico,PUR,,NM,0
