
Rank,Athlete,Age,Team,NOC,PTS,T,
1,Ashton Eaton,24,United States,USA,963,46.90,
2,Rico Freimuth,24,Germany,GER,906,48.06,
3,Trey Hardee,28,United States,USA,904,48.11,
4,Damian Warner,22,Canada,CAN,899,48.20,
5,Luiz Alberto AraÃºjo,25,Brazil,BRA,897,48.25,
6,Eduard Mikhan,23,Belarus,BLR,889,48.42,
7,Oleksiy Kasianov,26,Ukraine,UKR,888,48.44,
8,Willem Coertzen,29,South Africa,RSA,882,48.56,
9,Jangy Addy,27,Liberia,LBR,878,48.64,
10T,Yordanis GarcÃ­a,23,Cuba,CUB,873,48.76,
10T,KÃ©vin Mayer,20,France,FRA,873,48.76,
12,Eelco Sintnicolaas,25,Netherlands,NED,868,48.85,
13,Sergey Sviridov,21,Russia,RUS,866,48.91,
14,Leonel SuÃ¡rez,24,Cuba,CUB,859,49.04,
15,Hans Van Alphen,30,Belgium,BEL,853,49.18,
16,Ingmar Vos,26,Netherlands,NED,832,49.62,
17,Ilya Shkurenyov,21,Russia,RUS,823,49.81,
18,Dmitry Karpov,31,Kazakhstan,KAZ,822,49.83,
19,Jan Felix Knobel,23,Germany,GER,821,49.87,
20,Pascal Behrenbruch,27,Germany,GER,813,50.04,
21,Darius Draudvila,29,Lithuania,LTU,809,50.13,
22,Kurt Felix,24,Grenada,GRN,807,50.17,
23,Brent Newdick,27,New Zealand,NZL,804,50.22,
24,Edgars EriÅÅ¡,26,Latvia,LAT,786,50.62,
25,Keisuke Ushiro,26,Japan,JPN,779,50.78,
26,Attila SzabÃ³,28,Hungary,HUN,777,50.83,
27,Gonzalo Barroilhet,25,Chile,CHI,766,51.07,
28,Rifat Artikov,29,Uzbekistan,UZB,729,51.91,
