
Rank,Athlete,Age,Team,NOC,PTS,D,
1,Leonel SuÃ¡rez,24,Cuba,CUB,996,76.94,
2,Sergey Sviridov,21,Russia,RUS,865,68.42,
3,Trey Hardee,28,United States,USA,838,66.65,
4,Keisuke Ushiro,26,Japan,JPN,834,66.38,
5,Pascal Behrenbruch,27,Germany,GER,810,64.80,
6,Willem Coertzen,29,South Africa,RSA,810,64.79,
7,Damian Warner,22,Canada,CAN,780,62.77,
8,KÃ©vin Mayer,20,France,FRA,774,62.41,
9,Ashton Eaton,24,United States,USA,767,61.96,
10,Hans Van Alphen,30,Belgium,BEL,763,61.69,
11,Ingmar Vos,26,Netherlands,NED,762,61.60,
12,Yordanis GarcÃ­a,23,Cuba,CUB,736,59.85,
13,Brent Newdick,27,New Zealand,NZL,735,59.82,
14,Attila SzabÃ³,28,Hungary,HUN,720,58.84,
15,Eelco Sintnicolaas,25,Netherlands,NED,720,58.82,
16,Rico Freimuth,24,Germany,GER,698,57.37,
17,Edgars EriÅÅ¡,26,Latvia,LAT,698,57.35,
18,Gonzalo Barroilhet,25,Chile,CHI,697,57.25,
19,Rifat Artikov,29,Uzbekistan,UZB,687,56.62,
20,Eduard Mikhan,23,Belarus,BLR,673,55.69,
21,Oleksiy Kasianov,26,Ukraine,UKR,661,54.87,
22,Ilya Shkurenyov,21,Russia,RUS,645,53.81,
23,Luiz Alberto AraÃºjo,25,Brazil,BRA,612,51.59,
24,Jangy Addy,27,Liberia,LBR,594,50.36,
25,Darius Draudvila,29,Lithuania,LTU,591,50.16,
26,Dmitry Karpov,31,Kazakhstan,KAZ,588,49.93,
