
Rank,Athlete,Age,Team,NOC,PTS,BHC,
1,Gonzalo Barroilhet,25,Chile,CHI,1035,5.40,
2,Eelco Sintnicolaas,25,Netherlands,NED,1004,5.30,
3,Ashton Eaton,24,United States,USA,972,5.20,
4T,Ilya Shkurenyov,21,Russia,RUS,941,5.10,
4T,Dmitry Karpov,31,Kazakhstan,KAZ,941,5.10,
6T,Rico Freimuth,24,Germany,GER,880,4.90,
6T,Keisuke Ushiro,26,Japan,JPN,880,4.90,
8T,Trey Hardee,28,United States,USA,849,4.80,
8T,Hans Van Alphen,30,Belgium,BEL,849,4.80,
10T,Leonel SuÃ¡rez,24,Cuba,CUB,819,4.70,
10T,Damian Warner,22,Canada,CAN,819,4.70,
10T,Pascal Behrenbruch,27,Germany,GER,819,4.70,
10T,Brent Newdick,27,New Zealand,NZL,819,4.70,
10T,KÃ©vin Mayer,20,France,FRA,819,4.70,
15T,Oleksiy Kasianov,26,Ukraine,UKR,790,4.60,
15T,Sergey Sviridov,21,Russia,RUS,790,4.60,
15T,Yordanis GarcÃ­a,23,Cuba,CUB,790,4.60,
15T,Luiz Alberto AraÃºjo,25,Brazil,BRA,790,4.60,
15T,Attila SzabÃ³,28,Hungary,HUN,790,4.60,
20T,Willem Coertzen,29,South Africa,RSA,760,4.50,
20T,Ingmar Vos,26,Netherlands,NED,760,4.50,
20T,Edgars EriÅÅ¡,26,Latvia,LAT,760,4.50,
23T,Eduard Mikhan,23,Belarus,BLR,731,4.40,
23T,Rifat Artikov,29,Uzbekistan,UZB,731,4.40,
23T,Jan Felix Knobel,23,Germany,GER,731,4.40,
26T,Jangy Addy,27,Liberia,LBR,673,4.20,
26T,Darius Draudvila,29,Lithuania,LTU,673,4.20,
