
Rank,Athlete,Age,Team,NOC,PTS,D,
1,Dmitry Karpov,31,Kazakhstan,KAZ,880,16.47,
2,Pascal Behrenbruch,27,Germany,GER,831,15.67,
3,Hans Van Alphen,30,Belgium,BEL,819,15.48,
4,Jan Felix Knobel,23,Germany,GER,808,15.29,
5,Trey Hardee,28,United States,USA,807,15.28,
6,Darius Draudvila,29,Lithuania,LTU,800,15.17,
7,Brent Newdick,27,New Zealand,NZL,795,15.09,
8,Jangy Addy,27,Liberia,LBR,788,14.97,
9,Rico Freimuth,24,Germany,GER,782,14.87,
10,Eduard Mikhan,23,Belarus,BLR,774,14.75,
11,Ashton Eaton,24,United States,USA,769,14.66,
12,Leonel SuÃ¡rez,24,Cuba,CUB,759,14.50,
13,Gonzalo Barroilhet,25,Chile,CHI,758,14.49,
14,Yordanis GarcÃ­a,23,Cuba,CUB,758,14.48,
15,Oleksiy Kasianov,26,Ukraine,UKR,756,14.45,
16,Sergey Sviridov,21,Russia,RUS,754,14.42,
17,Eelco Sintnicolaas,25,Netherlands,NED,739,14.18,
18,Rifat Artikov,29,Uzbekistan,UZB,735,14.11,
19,KÃ©vin Mayer,20,France,FRA,731,14.05,
20,Attila SzabÃ³,28,Hungary,HUN,724,13.93,
21,Willem Coertzen,29,South Africa,RSA,715,13.79,
22,Ingmar Vos,26,Netherlands,NED,714,13.77,
23,Mihail DudaÅ¡,22,Serbia,SRB,714,13.76,
24,Damian Warner,22,Canada,CAN,712,13.73,
25,Keisuke Ushiro,26,Japan,JPN,703,13.59,
26,Luiz Alberto AraÃºjo,25,Brazil,BRA,699,13.52,
27,Edgars EriÅÅ¡,26,Latvia,LAT,695,13.45,
28,Kurt Felix,24,Grenada,GRN,684,13.28,
29,Ilya Shkurenyov,21,Russia,RUS,661,12.89,
