
Rank,Athlete,Age,Team,NOC,Medal,PTS,
1,Ashton Eaton,24,United States,USA,Gold,8869,
2,Trey Hardee,28,United States,USA,Silver,8671,
3,Leonel SuÃ¡rez,24,Cuba,CUB,Bronze,8523,
4,Hans Van Alphen,30,Belgium,BEL,,8447,
5,Damian Warner,22,Canada,CAN,,8442,
6,Rico Freimuth,24,Germany,GER,,8320,
7,Oleksiy Kasianov,26,Ukraine,UKR,,8283,
8,Sergey Sviridov,21,Russia,RUS,,8219,
9,Willem Coertzen,29,South Africa,RSA,,8173,
10,Pascal Behrenbruch,27,Germany,GER,,8126,
11,Eelco Sintnicolaas,25,Netherlands,NED,,8034,
12,Brent Newdick,27,New Zealand,NZL,,7988,
13,Gonzalo Barroilhet,25,Chile,CHI,,7972,
14,Yordanis GarcÃ­a,23,Cuba,CUB,,7956,
15,KÃ©vin Mayer,20,France,FRA,,7952,
16,Ilya Shkurenyov,21,Russia,RUS,,7948,
17,Eduard Mikhan,23,Belarus,BLR,,7928,
18,Dmitry Karpov,31,Kazakhstan,KAZ,,7926,
19,Luiz Alberto AraÃºjo,25,Brazil,BRA,,7849,
20,Keisuke Ushiro,26,Japan,JPN,,7842,
21,Ingmar Vos,26,Netherlands,NED,,7805,
22,Edgars EriÅÅ¡,26,Latvia,LAT,,7649,
23,Jangy Addy,27,Liberia,LBR,,7586,
24,Attila SzabÃ³,28,Hungary,HUN,,7581,
25,Darius Draudvila,29,Lithuania,LTU,,7557,
26,Rifat Artikov,29,Uzbekistan,UZB,,7203,
AC,Jan Felix Knobel,23,Germany,GER,,,DNF
AC,Kurt Felix,24,Grenada,GRN,,,DNF
AC,Mihail DudaÅ¡,22,Serbia,SRB,,,DNF
AC,Daniel Awde,24,Great Britain,GBR,,,DNF
AC,Roman Å ebrle,37,Czech Republic,CZE,,,DNF
