
Rank,Athlete,Age,Team,NOC,PTS,T,
1,Damian Warner,26,Canada,CAN,1029,13.58,
2,Ashton Eaton,28,United States,USA,1000,13.80,
3,KÃ©vin Mayer,24,France,FRA,972,14.02,
4,Arthur Abele,30,Germany,GER,959,14.12,
5,Larbi Bourrada,28,Algeria,ALG,955,14.15,
6,Luiz Alberto AraÃºjo,29,Brazil,BRA,953,14.17,
7,Yordanis GarcÃ­a,27,Cuba,CUB,942,14.25,
8,Cedric Dubler,21,Australia,AUS,936,14.30,
9,Oleksiy Kasianov,30,Ukraine,UKR,931,14.34,
10,Adam Helcelet,24,Czech Republic,CZE,927,14.37,
11,Dominik Distelberger,26,Austria,AUT,925,14.39,
12,Leonel SuÃ¡rez,28,Cuba,CUB,913,14.48,
13T,Jeremy Taiwo,26,United States,USA,902,14.57,
13T,Akihiko Nakamura,25,Japan,JPN,902,14.57,
15,Kai Kazmirek,25,Germany,GER,896,14.62,
16,Mihail DudaÅ¡,26,Serbia,SRB,892,14.65,
17,Zach Ziemek,23,United States,USA,878,14.77,
18,Kurt Felix,28,Grenada,GRN,875,14.79,
19,Bastien Auzeil,26,France,FRA,871,14.82,
20,Maicel Uibo,23,Estonia,EST,869,14.84,
21,Pau Tonnesen,23,Spain,ESP,851,14.99,
22,Thomas Van der Plaetsen,25,Belgium,BEL,848,15.01,
23,JiÅÃ­ SÃ½kora,21,Czech Republic,CZE,847,15.02,
24T,Keisuke Ushiro,30,Japan,JPN,839,15.09,
24T,PaweÅ WiesioÅek,24,Poland,POL,839,15.09,
26,Lindon Victor,23,Grenada,GRN,762,15.74,
27,Karl Robert Saluri,22,Estonia,EST,676,16.51,
