
Rank,Athlete,Age,Team,NOC,PTS,BHC,
1,Jeremy Taiwo,26,United States,USA,982,2.19,
2,Thomas Van der Plaetsen,25,Belgium,BEL,953,2.16,
3T,Cedric Dubler,21,Australia,AUS,925,2.13,
3T,Maicel Uibo,23,Estonia,EST,925,2.13,
5T,Zach Ziemek,23,United States,USA,896,2.10,
5T,Kai Kazmirek,25,Germany,GER,896,2.10,
6,Larbi Bourrada,28,Algeria,ALG,896,2.10,
8T,Kurt Felix,28,Grenada,GRN,868,2.07,
8T,Leonel SuÃ¡rez,28,Cuba,CUB,868,2.07,
10T,Mihail DudaÅ¡,26,Serbia,SRB,840,2.04,
10T,Adam Helcelet,24,Czech Republic,CZE,840,2.04,
10T,Damian Warner,26,Canada,CAN,840,2.04,
10T,KÃ©vin Mayer,24,France,FRA,840,2.04,
14T,PaweÅ WiesioÅek,24,Poland,POL,813,2.01,
14T,Pau Tonnesen,23,Spain,ESP,813,2.01,
14T,Yordanis GarcÃ­a,27,Cuba,CUB,813,2.01,
14T,Oleksiy Kasianov,30,Ukraine,UKR,813,2.01,
14T,Ashton Eaton,28,United States,USA,813,2.01,
19T,Bastien Auzeil,26,France,FRA,785,1.98,
19T,Lindon Victor,23,Grenada,GRN,785,1.98,
19T,JiÅÃ­ SÃ½kora,21,Czech Republic,CZE,785,1.98,
19T,Keisuke Ushiro,30,Japan,JPN,785,1.98,
19T,Arthur Abele,30,Germany,GER,785,1.98,
24,Pieter Braun,23,Netherlands,NED,758,1.95,
25T,Luiz Alberto AraÃºjo,29,Brazil,BRA,731,1.92,
25T,Akihiko Nakamura,25,Japan,JPN,731,1.92,
27,Dominik Distelberger,26,Austria,AUT,705,1.89,
28,Karl Robert Saluri,22,Estonia,EST,602,1.77,
