Athlete,100m,Lj,Sp,Hj,400m,110mH,Dt,Pv,Jt,1500m,
Kevin Mayer,10.55,7.80,16.00,2.05,48.42,13.75,50.54,5.45,71.90,276.11,
Damian Warner,10.31,7.81,14.83,2.03,47.72,13.56,47.32,4.80,61.94,266.59,
Maicel Uibo,11.04,7.56,14.78,2.12,50.32,14.66,46.58,5.30,61.75,267.54,
Arthur Abele,10.85,7.28,15.93,1.89,48.40,14.01,44.77,4.90,67.61,262.22,
Pieter Braun,11.12,7.62,15.28,2.00,49.25,14.40,45.52,4.90,58.77,264.29,
Timothy Duckworth,10.57,8.01,13.15,2.13,48.78,14.37,42.76,5.11,57.27,301.27,
Kai Kazmirek,10.99,7.56,14.03,2.06,47.27,14.42,43.76,4.70,61.53,270.75,
Kevin Mayer,10.68,7.40,16.20,1.97,48.87,13.54,50.32,4.65,67.66,287.74,
Ashley Moloney,10.36,7.67,13.62,2.11,45.82,14.17,43.93,4.80,57.77,288.48,
Cedric Dubler,10.79,7.62,13.24,2.11,47.84,14.34,41.70,5.00,62.48,281.05,
Felipe Dos Santos,10.40,7.64,14.04,2.07,48.01,14.01,42.46,4.90,59.82,295.83,
Axel Hubert,11.03,7.42,15.82,1.98,50.75,14.31,41.88,4.90,69.69,279.62,
Simon Ehammer,10.50,7.81,13.75,2.01,47.27,13.73,36.19,4.90,52.88,282.54,
Vitalyi Zhuk,11.03,7.03,15.39,2.01,49.11,14.85,49.08,4.60,62.98,268.83
